series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,496383.3485703321,495529.9892475449,494808.7574511575,494177.2893586968,493607.7849895128,493081.8827340334,492587.3938873504,492116.193000226,491662.84174166276,491223.68512424314,490796.25503679976,490378.875144965,489970.39842298906,489570.03237609105,489177.2224095207,488791.5738447414,488412.7996739227,488040.68548699236,487675.06587641756,487315.80852724775,486962.8034629403,486615.9557573488,486275.1805825259,485940.39983491035,485611.5398314373,485288.52973354823,484971.3004684885,484659.7839919699,484353.9127864316,484053.61952287384,483758.8368369912,483469.4971857123,483185.5327606822,482906.87544232345,482633.4567829627,482365.20801085,482102.06004920043,481843.9435460002,481590.7889114481,481342.5263607061,481099.085960212,480860.39767622546,657893.3399585867,834834.7945705904,1011697.3944186164,1188483.209769963,1365189.1358968304,1541806.7440797894,1718322.2695181319,1894716.417531377,2070963.8134598518,2247031.996929688,2422879.885546271,2598455.6225578543,2773693.6896963334,2948511.11797795,2945535.6213874784,2942116.2424820727,2938152.330563725,2933546.574838532,2928197.4292209554,2921995.6075409823,2914822.69115536,2906551.0199637283,2897044.5553282714,2886160.6319723343,2873752.60008151,2859673.3630201886,2843779.770239114,2825937.746261112,2806027.940006958,2783951.581149756,2759636.1509624966,2733040.4331227248,2704158.5192075055,2673022.409086608,2639702.961634876,2604309.0991820465,2566985.3265054137,2527907.767907197,2487279.0348296245,2445322.3007470323,2402274.9780897573,2358382.3696222557,2313891.614604692,2269046.180381621,2224081.0740645076,2179218.875667682,2134666.6294974345,2090613.5781089966,2047229.6838247646,2004664.8561403851,1963048.7878372318,1922491.2962864267,1883083.067162369,1844896.7035867427,1807987.9928485402,1772397.313849965,1738151.120186498,1705263.4454503164,1673737.3883741621,1643566.5454432603,1614736.3673981372,1587225.4235583707,1561006.5641331787,1536047.9757260056,1512314.1292001703,1489766.6220832195,1468364.9198866412,1448067.0022394715,1428829.9207043739,1410610.2756757082,1393364.6199494908,1377049.7964890657,1361623.2176579249,1347043.0928097486,1333268.6106612722,1320260.0823619356,1307979.0506429323,1296388.3698976703,1285452.2615305106,1275136.348421049,1265407.671893638,1256234.6941600046,1247587.288818283,1239436.7216446032,1231755.623602487,1224517.9577189272,1217698.9812318762,1211275.2041994287
E,0.0,853.3593227872014,1403.0923457464803,1752.5823665128733,1969.872002509198,2099.8910430056408,2172.366877594399,2206.989356309947,2216.804161389747,2210.451853721461,2193.649633024134,2170.1739422821142,2142.5129678754306,2112.3003168758446,2080.6033919378965,2048.115164653724,2015.28167009835,1982.3867063637974,1949.6080343825668,1917.0545980673849,1884.7911085732976,1852.8542217228232,1821.2631284551392,1790.026438539522,1759.146610952027,1728.6227659843594,1698.4524349185674,1668.6326167059194,1639.160386688172,1610.0332194116809,1581.2491322663302,1552.80671985113,1524.7051244905792,1496.943972098219,1469.5232918628844,1442.443431184235,1415.7049726801738,1389.3086571093088,1363.2553141483813,1337.5458017714645,1312.1809542505239,1287.161538373072,1262.4882172441648,1334.2611392534957,1470.4646925669742,1656.0800500654764,1884.2816984603874,2154.9398327012855,2473.28681580926,2849.033347791008,3296.018558133629,3832.386054446473,4481.255162328118,5271.873296664972,6241.271564850526,7436.489685150876,8917.482347958212,10544.723704849599,12389.472999399284,14505.328671847841,16939.35282890254,19736.889637018474,22943.30296390641,26604.08140305968,30763.950288083564,35465.27318566054,40745.884436410306,46636.46167239041,53157.57118613625,60316.57101076732,68104.61604486406,76494.05802590329,85436.5535352664,94862.17227848514,104679.7298832224,114778.45891695554,125030.99376271122,135297.50188985287,145430.67032463805,155281.1719100572,164703.20247915343,173559.69795112137,181726.9009210019,189098.0350521693,195585.94624634561,201124.6675932163,205669.94971984002,209198.86310283304,211708.62205033455,213214.80245926295,213749.13018687628,213357.00800323777,212094.9308431909,210027.91532102582,207227.04342351813,203767.19441404988,199725.01497769004,195177.1565783124,190198.7914181403,184862.4044200658,179236.8481436357,173386.640165576,167371.4777741557,161245.94237400842,155059.36530958384,148855.8274599294,142674.26655384654,136548.66837932088,130508.32065042412,124578.11104094448,118778.85364002154,113127.63071832803,107638.13913795186,102321.03294891704,97184.25566727447,92233.35741837483,87471.79356134856,82901.20260253722,78521.66217754099,74331.92265739618,70329.61853887446,66511.45823634154,62873.39322609396,59410.76772483154,56118.450230980445,52990.94833773354,50022.50825441919,47207.20046047701,44538.99287423014,42011.81285530818
I,3272.0121674062184,3010.251194013721,2840.890996304816,2731.1139924239287,2659.38527450944,2611.590583270548,2578.5071990276206,2554.1395769317774,2534.6206342605346,2517.4850940432107,2501.1884578651025,2484.788542729722,2467.734777793091,2449.728997405278,2430.6336866360666,2410.4117155327626,2389.0869536455466,2366.718711722486,2343.3853207670527,2319.17373091713,2294.1730592102413,2268.4707122017985,2242.1501734636654,2215.2898549219412,2187.962616526561,2160.235695344932,2132.1708758127224,2103.8247928814967,2075.2492994003214,2046.4918550808684,2017.5959113776066,1988.601277605833,1959.5444606480205,1930.4589750147115,1901.3756227297856,1872.3227440994708,1843.326441296577,1814.410777108231,1785.597951329358,1756.9084572480187,1728.3612205355644,1699.973722671169,1671.7621108260898,1586.1318892628262,1516.31315751503,1465.8915178453494,1436.784494108624,1430.1185646353226,1446.8804009075877,1488.3818952578283,1556.5979497736641,1654.4363007013462,1785.9912008980903,1956.8242750199045,2174.3097269596005,2448.078674155936,2790.5989368590635,3217.931841837288,3732.6165045397975,4342.868627189149,5060.451847867545,5899.724293335185,6877.197753616987,8011.292822855017,9322.130861513077,10831.27541115615,12561.369348761562,14535.632070470538,16777.194203716906,19308.26104902777,22149.112439940865,25316.966289848213,28824.75449262768,32679.880499295446,36883.04443061297,41427.23053598758,46296.95047833497,51467.823184828885,56906.54873867751,62571.302823892445,68412.54376375566,74374.19086565106,80395.10476931446,86410.78075801095,92355.15594467774,98162.43077731982,103768.81310249573,109114.10701399512,114143.08653925065,118806.61361402262,123062.47884923004,126875.96086266878,130220.11449765204,133075.80960650992,135431.55014371706,137283.10827571395,138633.0104413699,139489.91225904314,139867.89737909552,139785.73231712036,139266.10542035705,138334.87380135144,137020.33763079162,135352.5568557364,133362.72137347562,131082.5820595936,128543.94688679231,125778.24370461954,122816.14907534147,119687.2808520605,116419.95090162329,113040.97346817351,109575.52409080316,106047.04367772656,102477.18224901956,98885.77694338807,95290.8590997128,91708.68553470817,88153.78951286794,84639.04731818916,81175.75676814596,77773.72444265269,74441.3588218533,71185.76692739759,68012.85243613194,64927.41357887548,61933.23944806262,59033.203615856226,56229.3542093271,53522.99980271996
A,4580.588949192203,3693.745180246469,3078.641323451833,2647.0720997641893,2340.029147026076,2117.905260940384,1954.0286490957703,1830.37634781466,1734.7230344704283,1658.739658956883,1596.7226797010192,1544.743037151556,1500.0750839702039,1460.8125717982768,1425.6098262521928,1393.5068388393577,1363.8107041652834,1336.0149580981474,1309.7444620827941,1284.7175466303527,1260.7198474711868,1237.5860892675273,1215.1872926366168,1193.421699523698,1172.208262479692,1151.4819138448456,1131.1900805236214,1111.2900786444,1091.7471365107338,1072.5328716873378,1053.6241007794465,1035.0018964884518,1016.6508312588265,998.5583639055441,980.7143374773383,963.1105649230727,945.7404850048131,928.5988751000876,911.6816105724866,894.9854626153808,878.5079281283927,862.2470864354659,846.2014786110412,830.3700059263098,826.0175534703469,838.4748481581101,870.27989019039,922.6791483761072,996.6625468227472,1093.6417385408558,1215.893448032012,1366.8759592337344,1551.504966605688,1776.4547080366833,2050.535887572437,2385.194514374803,2795.174987950535,3299.3955152749813,3896.7550223984176,4594.7192978896455,5405.59200325797,6344.81176563179,7430.143826587637,8681.231897955895,10119.249094398407,11766.51235051593,13645.984098158246,15780.616333425824,18192.51365985283,20901.91200418646,23925.992011769198,27277.571091715814,30963.743894284737,34984.56420661905,39331.87750963616,43988.41857628049,48927.2796755249,54111.831652375324,59496.14459426084,65025.91161396183,70639.83458658023,76271.39071519014,81850.86867077672,87307.54585589228,92571.87487737088,97577.55632100307,102263.39367638266,106574.85130398616,110465.2641448874,113896.67535565511,116840.30283809727,119276.65617652774,121195.34102081844,122594.59833399061,123480.63150899489,123866.77581021065,123772.56273092456,123222.72754087814,122246.20234793471,120875.1301388838,119143.92809563913,117088.42147024359,114745.0627818467,112150.2452921329,109339.71474569273,106348.07927337202,103208.4141352957,99951.9555697455,96607.87633106869,93203.13444617997,89762.38619151287,86307.95418865295,82859.84174202141,79435.78501010523,76051.335238276,72719.96402337574,69453.18537666259,66260.68916185232,63150.48127798788,60129.026710271726,57201.39227048568,54371.386482740796,51641.694635273336,49014.00751368603,46489.142756991016,44067.158138538645,41747.45637419983,39528.88130556804,37409.80550238838,35388.209481895676
IH,0.0,130.88048669624874,208.08720544825763,253.033766994124,278.75249819161616,293.112390317188,300.82032947376996,304.6605613701752,306.25843721275567,306.54810043534866,306.05672492691633,305.07568582660497,303.76248873189576,302.20062419345874,300.4340961090998,298.4868822002213,296.37356000284376,294.10484982595733,291.69030566065953,289.13946098905916,286.4621803196199,283.6686365921546,280.76914094610584,277.7739401818436,274.6930351330056,271.5360397804681,268.3120840361968,265.0297554279421,261.6970721595801,258.32147975943286,254.9098643935744,251.46857717965466,248.0034651195105,244.51990540925158,241.02284082610612,237.51681462956634,234.0060039725111,230.49425122676834,226.98509291809484,223.48178616552934,219.98733265259327,216.5045002412626,213.035842388202,266.647050757393,296.04785829889937,310.4694454520991,316.339125381058,318.08887522197807,318.7602047675879,320.45630044610965,324.6783848005913,332.57533420031666,345.1303497173838,363.30441918117896,388.1529675836516,420.92940670838254,463.18732311423355,516.8918434549779,584.5503047411803,668.0250144139849,769.1705067205623,890.10030888334,1033.2939706573638,1201.6356653569947,1398.421717549492,1627.3501360251946,1892.4943744082168,2198.2588029893786,2549.3115534931585,2950.4901662333905,3406.6763343997177,3922.637845294892,4502.838480901914,5151.220010294983,5870.964193436207,6664.24647453406,7531.996217873022,8473.68035856567,9487.127739792882,10568.409942139719,11711.791126816588,12909.754656394729,14153.108599762956,15431.166366876205,16731.99333783735,18042.70601174474,19349.807270251644,20639.539975540127,21898.241246227994,23112.681164642396,24270.37205416547,25359.837475859567,26370.833388450377,27294.517197887293,28123.563458565284,28852.227614902746,29476.361294303686,29993.38424466338,30402.219062565673,30703.195427208204,30897.930706617008,30989.193614717045,30980.757150818652,30877.246424012577,30683.986223071246,30406.852396838218,30052.130308727195,29626.382858728193,29136.32985377616,28588.739869885896,27990.335196797845,27347.709991494125,26667.26138952948,25955.13302789233,25217.170212933626,24458.88581323831,23685.435860980488,22901.603797046206,22111.79228613051,21320.02154986811,20529.93321141607,19744.798707267597,18967.531395878657,18200.70157329544,17446.553689607957,16707.025143737552,15983.766115505785,15278.159971445555,14591.343853229733,13924.229124159758
IN,130.88048669624874,260.25215538565726,377.66196110648787,486.9438337791732,590.5748016927274,690.1419411142735,786.6494617875193,880.7210879260958,972.7335315246694,1062.904478453242,1151.350493974114,1238.125019623933,1323.2431935341192,1406.6979564867447,1488.4704040180452,1568.5363490017153,1646.8703979476634,1723.4484048893441,1798.248874649958,1871.2536930938006,1942.4484329142813,2011.8223978073602,2079.3685110404754,2145.083116806013,2208.9657379183286,2271.0188170908727,2331.2474583596736,2389.6591782977757,2446.263672223639,2501.072597799998,2554.0993766860465,2605.3590138714226,2654.8679337376743,2702.6438315978944,2748.705539350276,2793.0729038758504,2835.7666768688455,2876.8084148804687,2916.2203884649193,2954.0254994285215,2990.2472052922417,3024.909450180624,3058.036601444434,3089.6533914093,3117.4804874518563,3142.194037559949,3164.6058190345334,3185.594951789878,3206.0754801926605,3226.990378171541,3249.3242245450474,3274.1292437817897,3302.5618395334054,3335.9288542992826,3375.7445300075715,3423.800620240057,3482.253467560801,3553.7332685694905,3641.4823514723516,3748.807230846405,3879.304931156309,4037.001555129149,4226.451116796354,4452.81560215081,4721.934312481847,5040.3840867937215,5415.528486558481,5855.551899629003,6369.473138344961,6967.132269362082,7659.144132981961,8456.812392717582,9371.999117587435,10416.946903917853,11604.053350829046,12945.601140119827,14453.450726204701,16138.706300181033,18011.368798763266,20079.991869074798,22351.35757734146,24830.188137622612,27518.908097587846,30417.468479796466,33523.240682760705,36830.98389258569,40332.88573051076,44018.67219439675,47875.77988673157,51889.58120461132,56043.651652670895,60320.067705047724,64699.723606798296,69162.65605190644,73688.36666967461,78256.1335571488,82845.30458452445,87435.56676168389,92007.1874957017,96541.22502118292,101019.70659804485,105425.77421365357,109743.79848262173,113959.46220525885,118059.81563147112,122033.3058945217,125869.78334659491,129560.48766607561,133098.01663617603,136476.28043692393,139690.44416720734,142736.86113835347,145612.99927125574,148317.3626987161,150849.41043453943,153209.47372993716,155398.67350293478,157418.8390029323,159272.4286640233,160962.45390953147,162492.4064978137,163866.189846195,165088.05463577417,166162.5388841027,167094.41257436923,167888.6268474586,168550.2676956862,169084.5140426668,169496.60005117196,169791.78146851764
D,2766.0,2766.0,2766.4452795537627,2767.153230603798,2768.014098145615,2768.9624655542198,2769.9596879642013,2770.983134204753,2772.019645622462,2773.061593308481,2774.104526482205,2775.145787905826,2776.183711653497,2777.217167662461,2778.2453099202144,2779.2674421236275,2780.2829495462015,2781.2912670569044,2782.291865997172,2783.2842502128797,2784.2679559845674,2785.2425531536524,2786.207646171769,2787.1628745709495,2788.1079127447315,2789.042469111332,2789.966284797505,2790.8791319916486,2791.7808120985137,2792.6711538022596,2793.550011118107,2794.417261489282,2795.2728039666854,2796.116557493797,2796.9484593083084,2797.7684634641514,2798.5765394722644,2799.3726710550304,2800.1568550072902,2800.9291001557967,2801.6894264086236,2802.4378638861244,2803.17445212543,2804.4453108038806,2806.035985475051,2807.8020497473262,2809.6541455483116,2811.5412567419835,2813.4388060138,2815.3403600810984,2817.252032154308,2819.188890940152,2821.1728587315292,2823.2317230766935,2825.3990042668447,2827.7145186980792,2830.2255599554264,2832.988689496114,2836.0721916791795,2839.5593083044546,2843.5443907087724,2848.13285339522,2853.442719047662,2859.6068020267503,2866.7751221391572,2875.1173633130315,2884.8252698327105,2896.114886043176,2909.2285304231164,2924.4363690455393,2942.037426179431,2962.3598476823613,2985.7602214984654,3012.6217641241833,3043.351206556521,3078.374260482378,3118.129615133281,3163.0615038344317,3213.61097992906,3270.206144792054,3333.251664934715,3403.117989900801,3480.130728967749,3564.560657234419,3656.614799279809,3756.4289840798656,3864.062184487424,3979.4928567164634,4102.617389204054,4233.25066489419,4371.128644069299,4515.912792166128,4667.196112282608,4824.510497007704,4987.335088711156,5155.105330045245,5327.2223946949625,5503.062709357862,5681.987308317982,5863.350798642857,6046.509754091002,6230.830396779485,6415.695465502008,6600.51020676207,6784.707458007308,6967.7518215468335,7149.142951882912,7328.417998657368,7505.153262287382,7678.965129988981,7849.510366707463,8016.485838998071,8179.627750654017,8338.710467381297,8493.54500456089,8643.977247566647,8789.885968618146,8931.180698084214,9067.799501801208,9199.70670956451,9326.890633676376,9449.361310428507,9567.148291765057,9680.298509179249,9788.874227185266,9892.951099494356,9992.61633731065,10087.96699593458,10179.10838309651,10266.152590110025
R,0.0,888.3525869525738,1649.2536108576269,2317.6415248518806,2918.4173620392826,3469.3437553911413,3983.1040813331406,4468.7671088434245,4932.828987483468,5379.954270465072,5813.502620853567,6235.903013142055,6648.919527079504,7053.840163113662,7451.611049232565,7842.9319365340025,8228.324264298215,8608.179788677826,8982.79543366905,9352.398366468471,9717.164126213333,10077.229805532743,10432.703698387175,10783.672414172534,11130.206166435224,11472.362738921809,11810.190486690073,12143.730627707751,12473.019008114235,12798.087473211366,13118.96494001449,13435.67824142876,13748.252793723268,14056.713125783941,14361.0832991094,14661.38724060049,14957.649005131254,15249.892981146719,15538.14404973819,15822.427705536049,16102.770146146886,16379.198335613637,16651.740046399496,16920.42388362084,17203.921622228605,17496.50259083051,17796.491774067043,18104.814668363513,18424.096138972847,18758.156893951873,19111.78892232499,19490.726800623106,19901.76212352802,20352.972747479318,20854.057738037263,21416.784252331636,22055.565638732875,22788.2023040544,23636.829711654158,24624.226660585773,25775.263920040336,27117.841695234092,28683.586143636912,30508.425492476068,32633.092925172565,35103.56514381038,37971.42355397002,41294.11096447267,45135.04713852858,49563.56051987536,54654.59125251684,60488.12300669178,67148.30894494665,74722.27086414836,83298.56986781079,92965.37065864183,103808.34753895111,115908.40557792467,129339.3119681339,144165.34743849424,160439.0936214027,178199.46858669634,197470.10977244025,218258.18285737382,240553.669156645,264329.15568803874,289540.12390113313,316125.70753445924,344009.8688955379,373102.92707752343,403303.3615997348,434499.81049371586,466573.18234318425,499398.806354854,532848.5521940585,566792.8610607944,601102.6403775607,635650.9857057045,670314.7044513547,704975.626076188,739521.6925570614,773847.8305440269,807856.6129657347,841458.7227333264,874573.2347751276,907127.7350178007,939058.2962662983,970309.3313892416,1000833.343953893,1030590.5956341528,1059548.708481364,1087682.2186298997,1114972.0963179015,1141405.2453298038,1166973.9931850792,1191675.5816639785,1215511.6656180783,1238487.8264905117,1260613.1055863237,1281899.5608971163,1302361.850198685,1322016.8422029326,1340883.2567493313,1358981.3343571108,1376332.534916059,1392959.2648591665,1408884.6318219365,1424132.2255387323,1438725.9235442874,1452689.7201274675
G,317491.0,317491.0,317562.45989781216,317679.9541736357,317826.7145751151,317991.67070583696,318167.5145682557,318349.42752208206,318534.23974556534,318719.87385608885,318904.97602743417,319088.671188928,319270.40050740977,319449.8135092454,319626.6965182686,319800.9252420962,319972.43341745157,320141.19213182013,320307.1962378025,320470.4554736139,320630.98870038043,320788.8201981088,320943.9773163468,321096.48901168216,321246.3849616805,321393.695049821,321538.4490859164,321680.6766730502,321820.40716299956,321957.6696626321,322092.49306733534,322224.90610647376,322354.93739172444,322482.615462943,322607.9688286592,322731.0259998473,322851.81551657233,322970.3659676877,323086.70600407745,323200.86434610246,323312.86978596984,323422.7511857483,323530.53747171693,323636.2576256829,323747.9880094964,323871.1240131251,324009.8033572025,324167.5921971739,324348.04581867217,324555.15766288416,324793.73434032843,325069.74134354724,325390.66350202693,325765.9216464208,326207.38577178837,326730.026840249,327352.7548972258,328099.5005649778,328982.51063856,330019.99912769056,331234.668349604,332653.1615796357,334305.9191917343,336227.1803082356,338454.99324433913,341031.15159309376,344000.9964521752,347413.0371486819,351318.3519398139,355769.7412941819,360820.6218385386,366523.66951511294,372929.2450139747,380083.6607706518,388027.3732915656,396793.2033478083,406404.6960991354,416874.7311700105,428204.4786762726,440382.77281644085,453385.9432049798,467178.10988578625,481711.91522278485,496929.6381945412,512764.61638072797,529142.8891188933,545984.9717093549,563207.6740312976,580725.8858566849,598454.2636849887,616308.7683337709,634208.0173285677,652074.4302009662,669835.15734113,687422.7935991227,704775.8861962726,721839.2527072824,738564.129063269,754908.1699519375,770835.3249449253,786315.6134663273,801324.8206203431,815844.1341819073,829859.7409480612,843362.3983363261,856346.9947471975,868812.1098927064,880759.5841115002,892194.1036957088,903122.8074765026,913554.918366843,923501.4022414698,932974.6554362241,941988.2212555673,950556.5351689678,958694.6978320939,966418.2746654323,973743.120439575,980685.2271328449,987260.5932247319,993485.1125514,999374.4808629145,1004944.1182735484,1010209.1058761539,1015184.1348905367,1019883.4668270373,1024320.9032645014,1028509.7639621207,1032462.8721438973,1036192.5459102249
H,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2481737.2794759828,2304470.330941984,2127203.382407985,1949936.4338739864,1772669.4853399876,1595402.5368059888,1418135.58827199,1240868.6397379912,1063601.6912039923,886334.7426699935,709067.7941359947,531800.8456019959,354533.89706799714,177266.94853399837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
