series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,1246095.6894470102,1245393.756848281,1244830.3252414647,1244311.3306465477,1243792.9875543315,1243254.127265934,1242683.761056269,1242075.4563943944,1241424.7874002438,1240728.1783935586,1239982.3804981457,1239184.236812066,1238330.5798295701,1237418.1901760062,1236443.7844911583,1235404.0179135753,1234295.494619223,1233114.7834922485,1231858.4376344602,1230523.0171355347,1229105.1148201863,1227601.3847858445,1226008.5735473367,1224323.5535612071,1222543.3588343947,1220665.2222419092,1218686.614093072,1216605.2814011953,1214419.287231952,1212127.0494356416,1209727.3780124567,1207219.5103217983,1204603.1433303151,1201878.46210156,1199046.1637648973,1196107.4762633024,1193064.1712683735,1189918.5707642133,1186673.5469364685,1183332.5151541217,1179899.4199939966,1176378.7144250704,1172775.3324349704,1169094.6555379275,1165342.473745894,1161524.941707249,1157648.5308163457,1153719.9781691853,1149746.2332842518,1145734.4035228174,1229301.8188224628,1312443.9179928706,1395151.7962009402,1477397.0872026044,1559130.040123387,1640283.822507203,1720776.496840336,1800511.4640006144,1879376.944767144,1957244.8922461115,2033969.6090717781,2109386.276688864,2183309.576996111,2255532.5862852833,2325826.1365019055,2393938.859407247,2459598.1457458995,2522512.2545312997,2582373.7877580416,2638864.695159012,2691662.8869679864,2740450.4101053863,2784922.991902774,2824800.5903500426,2859838.4324989174,2889837.8980901274,2914656.5371029177,2862243.8555733715,2791457.5512070525,2718722.5517954375,2644540.000286157,2569554.1711688004,2494438.7481508767,2419841.8180111097,2346356.3759089345,2274504.0913996305,2204727.317470575,2137386.8422981477,2072763.7898004744,2011064.4526910195,1952427.0609315007,1896929.6666607491,1844598.4932294057,1795416.2522166637,1749330.0730266452,1706258.8102844974,1666099.5926537078,1628733.553095075,1594030.736866283,1561854.2225424973,1532063.516202181,1504517.292795316,1479075.5644198642,1455601.355179547,1433961.958425971,1414029.8460061343,1395683.2917597608,1378806.7637327681,1363291.1319276837,1349033.731234607,1335938.3126665046,1323914.9102454318,1312879.645866493,1302754.4901737561,1293466.9938602573,1284950.00078266,1277141.3517856416,1269983.586088528,1263423.6454286699,1257412.5848207315,1251905.2927238934,1246860.222562798,1242239.13688266,1238006.8649004821,1234131.0738145178,1230582.053929661,1227332.5174281613,1224357.4104473062,1221633.7380057662,1219140.4012379183
E,0.0,701.932598729162,1074.0057001026537,1300.2084714444009,1464.09310096733,1603.8172498871327,1736.9561922935907,1871.7376959920134,2012.1398515105548,2160.2060559034057,2317.095838122944,2483.5606459827036,2660.1576739293714,2847.3440848354458,3045.5163969315586,3255.024532216997,3476.173980714409,3709.2222426026847,3954.3724015657417,4211.765189428474,4481.470237140719,4763.476920381727,5057.685093799546,5363.895971614837,5681.803409963976,6010.985856823858,6350.8992479551935,6700.87113609149,7060.096341919056,7427.634406775465,7802.409106784337,8183.2102553961995,8568.697975802676,8957.409567002644,9347.769018813571,9738.099154039584,10126.636293271304,10511.54725294686,10890.948404300241,11262.92644377165,11625.560458345191,11976.944815700586,12315.212371944257,12638.557471070659,12945.258211223627,13233.697473215163,13502.38224548091,13749.960834601494,13975.237618791645,14177.18507986894,14354.952933346996,14909.574441433486,15747.217860743975,16819.092953316554,18111.095142258153,19630.04657462256,21396.014624299336,23438.25757362076,25793.23750906811,28503.744018596644,31618.552008460334,35192.26072347326,39285.084291847794,43962.42707555738,49294.107465517685,55353.110381870036,62213.764857851085,69949.26832667712,78628.52040222475,88312.28977895576,99048.81809324007,110869.0588220637,123781.8465984297,137769.3769290595,152783.43005994812,168742.77905532785,185532.17055509053,203003.1565527907,218447.42279683036,231630.02014029303,242666.37420837814,251497.3121383998,258050.38335666223,262298.48545010574,264276.9961936987,264082.9743964809,261866.3355891466,257817.69064536798,252155.3510014488,245112.94396846718,236928.46891706536,227835.22045240836,218054.72197683647,207791.61769886644,197230.34458589414,186533.33379824404,175840.4610210022,165269.46520288283,154917.07539930881,144860.6173982969,135159.90918817645,125859.29250686428,116989.68364876592,108570.55860627478,100611.81464432394,93115.47237335918,86077.1995590736,79487.65080011988,73333.62645044044,67599.06041954212,62265.85037764703,57314.545982179436,52724.911504523196,48476.37906340916,44548.4078752506,40920.76375220502,37573.7316946857,34488.27296537103,31646.136585482145,29029.93381940904,26623.18294567289,24410.330468837787,22376.753914536497,20508.75046642025,18793.51494261947,17219.109960259564,15774.430588300122,14449.165329633292,13233.75489144604,12119.349887491131
I,217.01020228202023,168.53102763379712,151.52464275012954,149.25950363869882,154.15265827710834,162.7722942106102,173.57540895459738,185.88056177922405,199.4005088067914,214.02916468973126,229.74423622898348,246.56251037334624,264.5191228467763,283.6577464195998,304.02574199517505,325.6715512319046,348.6430847844893,372.9865342527277,398.7453449046722,425.95922889134965,454.66316553850595,484.8863676740759,516.6512096572765,549.9721223899473,584.8544669905173,621.293403711803,659.2727767976866,698.7640395389227,739.7252468155912,782.1001448034639,825.8173891240051,870.7899233678635,916.9145494635444,964.0717196689753,1012.1255769515982,1060.9242661693772,1110.3005328175145,1160.0726192865623,1210.045460786702,1260.0121746015056,1309.7558274740236,1359.0514570733958,1407.6683150379497,1455.3722914350358,1501.92847398497,1547.1037903810734,1590.669678742407,1632.404729815331,1672.0972450528702,1709.547657106944,1744.570763434176,1807.156140204992,1873.152673187998,1950.1805264942914,2042.8544362914356,2154.423207275197,2287.666665547459,2445.3818407291374,2630.649710462317,2846.9885288754576,3098.449782002633,3389.684302870181,3725.9900255173484,4113.343736741965,4558.413795246902,5068.547402283733,5651.723808905796,6316.463573199903,7071.683713537259,7926.489602439626,8889.89702745392,9970.482254142777,11175.964197608217,12512.730649242107,13985.329217862807,15595.95214214345,17343.951063384226,19225.42183356091,21232.89935939294,23280.80986620983,25294.30760089288,27217.367668198545,29003.772216371355,30614.698642161,32018.528983618282,33191.20242495381,34116.47164516241,34785.846821653235,35198.19352802447,35359.03135240835,35279.612862386915,34975.87056280819,34467.313959602914,33775.946135565624,32925.253411368074,31939.30537366528,30841.987502326327,29656.375795078675,28404.252601988454,27105.755389425532,25779.145145238585,24440.678260419634,23104.564561787145,21782.994305539534,20486.21798711805,19222.664447560295,17999.084692406825,16820.71088113266,15691.421945288757,14613.909153383602,13589.836601049254,12619.993037808348,11704.432640673725,10842.603319043643,10033.461903713931,9275.576159411194,8567.213991245468,7906.420516940525,7291.08387309946,6718.990737150172,6187.872596204856,5695.443796143594,5239.432372255408,4817.604607609529,4427.784195560082,4067.8668050115043,3735.8307662391526,3429.744514763067,3147.7713535179764,2888.172020998637
A,1794.677174845488,1451.9108608815661,1345.3254222218295,1349.5880190076127,1408.050868251475,1495.2059530764336,1599.6973017870512,1716.6122762554573,1843.9775661961748,1981.1642490889565,2128.1604915599846,2285.238727242581,2452.802115798032,2631.3123314735076,2821.2540588725674,3023.1158489214336,3237.378047852666,3464.5035580029185,3704.929497908224,3959.058892227711,4227.252018867469,4509.81728088926,4807.00159537404,5118.980364412441,5445.847143629022,5787.603163714765,6144.14689540319,6515.263879672204,6900.6170724515705,7299.7379756823275,7712.018842735117,8136.706254353248,8572.896359922417,9019.532066698892,9475.40243575203,9939.144507404784,10409.247731107174,10884.061115845489,11361.803148958903,11840.574455848695,12318.37309333713,12793.112288610875,13262.640357267024,13724.76246151171,14177.26380640671,14617.93382119029,15044.590836503283,15455.106748486684,15847.431158010437,16219.614487708033,16569.829610150202,16896.391565756145,17295.471782576104,17822.053209239446,18508.75138705147,19378.522249652793,20451.596567225308,21749.221774586294,23295.703102152565,25119.571590204025,27254.31589951107,29738.89113132219,32618.09131596927,35942.79981847113,39770.08864077006,44163.1099788094,49190.70508902459,54926.6446310838,61448.41198423683,68835.44888820885,77166.8039086842,86518.16084661533,96958.27675430418,108544.925394531,121320.51609079991,135307.63094877574,150504.78404964716,166882.7427091753,184381.75363659102,202294.79162877012,219992.72503047594,236994.6528220401,252897.13019095408,267356.1458829979,280086.80000081554,290867.2099893857,299541.476254532,306019.9352313275,310276.40637186234,312342.8044951414,312301.7690694427,310278.03960626083,306429.27071393793,300936.8827734307,293997.4177429273,285814.7365133932,276593.26906920184,266532.42012024496,255822.1450459587,244639.64484954253,233147.08308915017,221490.19984684818,209797.68450578843,198181.16709403766,186735.69408433652,175540.5660708076,164660.4294154573,154146.5300035691,144038.0533643116,134363.4907004338,125141.98426037119,116384.61766974107,108095.62720408593,100273.51855545351,92912.08053722957,86001.29255359087,79528.12672712149,73477.2485319056,67831.621814033,62573.025375736695,57682.489012132595,53140.65715774375,48928.088238899196,45025.49753243783,41413.950877116935,38075.016031674146,34990.87786870134,32144.42297086217,29519.298580561193,27099.950263399627
IH,0.0,28.8416839074756,37.01106555733415,38.88981243367465,39.54062234007579,40.52067532654977,42.16280467545043,44.430566350069284,47.214929461975714,50.4224779896325,53.9917839318629,57.88876223007291,62.09837492633735,66.61767281931415,71.45096602908868,76.60673274466853,82.09570652361384,87.92969302167393,94.12081259719577,100.68098005051047,107.62150988808037,114.95278346560796,122.68394296779576,130.822593894724,139.3745074698479,148.34332017244552,157.73023118106576,167.5337008769481,177.74915522712575,188.36870211573608,199.38086664237449,210.77035310077196,222.5178417893215,234.59982896611768,246.9885181176789,259.65177023749936,272.5531199923589,285.6518634891769,298.9032218585945,312.258583077774,325.6658224175788,339.06969968950443,352.41232917132004,365.63371580357676,378.6723490730609,391.4658440338337,403.95161725415767,416.0675841974145,427.7528637077319,438.9484749149383,449.59801201282437,431.31920503185063,429.21994562829605,435.7781941409085,448.03336737728927,465.0070000369038,486.5749958323963,512.9953742589367,544.7232956364064,582.3474322441331,626.575199671846,678.236308414771,738.2922217982684,807.8465074815801,888.1537951780577,980.6258220450726,1086.833048408645,1208.5000728651748,1347.492799238042,1505.7951357135526,1685.473034010361,1888.6239889977996,2117.3107885334375,2373.4793702135285,2658.8620930973975,2974.869481015653,3322.4753695701274,3702.1021482552533,4113.51414847878,4555.727913920063,5018.347334483248,5487.409477629493,5949.305810300775,6391.742664221956,6803.952912502367,7176.782038219726,7502.772846642238,7776.23836737268,7993.292612304392,8151.819793987284,8251.377512869969,8293.040825707043,8279.200858802242,8213.334438042377,8099.76117273613,7943.4025818867085,7749.555023956111,7523.685007072204,7271.252346654538,6997.563871460847,6707.658100137762,6406.219567479444,6097.520256917046,5785.384837118602,5473.176028775139,5163.796358651817,4859.702710594282,4562.93038494323,4275.123768005664,3997.5711437694936,3731.2416149611,3476.8225146463037,3234.756066716104,3005.2743848254167,2788.4321811536024,2584.1367891108425,2392.1752908051,2212.2386852604996,2043.9431423754834,1886.8484659828837,1740.4739425101839,1604.3117846090058,1477.8383961504464,1360.5236899820175,1251.838686017537,1151.261607211539,1058.2826768602602,972.407804119624,893.1613268938106,820.0879632575015
IN,19.637490740747506,37.41739725157055,49.12850184437092,58.19288255116513,66.19485442087785,73.88267654463363,81.62327890175162,89.60925419868329,97.95331275467906,106.73151018236938,116.00310792823902,125.81974433930804,136.2296921661851,147.2798373282596,159.01658262596197,171.4862271840011,184.73507405714832,198.80938180737178,213.7552131534186,229.6182049777971,246.44327079438509,264.27424089605364,283.153443003924,303.1212255807706,324.21542624437177,346.4707885431684,369.91833154844414,394.58467816861616,420.49134972793087,447.6540361076823,476.08185255405516,505.7765960368511,536.7320157139557,568.9331135275103,602.3554921364163,636.9647681843988,672.7160692283651,709.5536324354498,747.4105223441967,786.2084835442705,825.8579420559523,866.2581665118456,907.2975970165232,948.8543458735272,990.7968703387388,1032.984813322449,1075.2700036726862,1117.4976034901654,1159.5073860101056,1201.1351240877948,1242.2140663750645,1282.576475981105,1324.7842724533484,1368.971572955397,1415.9493649944209,1466.8695142410618,1523.0689149457417,1586.00954900194,1657.2682102000606,1738.5513385048082,1831.7223259630318,1938.8349227537922,2062.169466060862,2204.270003233289,2367.9807765765704,2556.4804078794596,2773.3116974042155,3022.4043697512093,3308.0874566940797,3635.08740133499,4008.5075098431385,4433.784195915052,4916.6156980532005,5462.859729989599,6078.397940481491,6768.967129071826,7539.959807899537,8396.199720376575,9341.701023224821,10379.42263449707,11504.299912502549,12704.974424963355,13966.092422406997,15269.570220371359,16595.521638371883,17923.080460668345,19231.176995919748,20499.26437640351,21707.97108668252,22839.65538045678,23878.843784242705,24812.544775864473,25630.437499975324,26324.942826364222,26891.189646346163,27326.892930623068,27632.16188266924,27809.256799209,27862.312339277265,27797.043157634373,27620.445599691924,27340.506656970196,26965.928859986867,26505.877396895386,25969.753595800226,25366.997056315144,24706.917185816,23998.55368564435,23250.564621574333,22471.14006908264,21667.938909385146,20848.046127105263,20017.947886287122,19183.52170281964,18350.039156938437,17522.17877272179,16704.046910492303,15899.204755317165,15110.699726914967,14341.099873262103,13592.530035019994,12866.708775952644,12164.985263060074,11488.375447979473,10837.597048165191,10213.10295310316,9615.112788532446,9043.642461859785,8498.531586366325,7979.468742189323
D,1601.0,1601.0,1601.2886088920936,1601.658965999535,1602.0481230860705,1602.4437926053286,1602.8492691804965,1603.2711779838792,1603.7157795047378,1604.188243197427,1604.692803734041,1605.233081097621,1605.8123541936543,1606.4337514479132,1607.1003717745184,1607.8153572174915,1608.5819346592,1609.4034383890598,1610.283320831657,1611.2251556958688,1612.2326359179149,1613.3095676544215,1614.4598609446998,1615.6875173107846,1616.996614380356,1618.391287531758,1619.8757085323423,1621.4540611492314,1623.130513743108,1624.909188903867,1626.7941302476927,1628.7892665653549,1630.8983735887089,1633.1250337239464,1635.472594183332,1637.9441240289013,1640.5423707186167,1643.2697168142893,1646.128137567758,1649.1191601439912,1652.2438252640281,1655.5026520545248,1658.8956068724149,1662.422076831956,1666.0808486973124,1669.8700937179253,1673.7873588783636,1677.829564912144,1681.9930112940035,1686.2733882817215,1690.6657959316292,1693.3354370437878,1695.8965415225678,1698.4451809346458,1701.0327621778379,1703.693112680311,1706.4542498997182,1709.3434544297986,1712.389538942801,1715.6240187801807,1719.0819047252694,1722.8024080820664,1726.8296668428352,1731.2135280153427,1736.0103914156755,1741.2841066505628,1747.106905996262,1753.5603468713557,1760.736227085158,1768.7374238855589,1777.6785946500659,1787.68666404718,1798.9010113345828,1811.4732642744484,1825.5666052952754,1841.3545032966808,1859.0188026432693,1878.7471301797489,1900.7296208321127,1925.1550101639325,1952.2061941323861,1982.004338255066,2014.587698388587,2049.9137250960416,2087.866871103856,2128.267655660461,2170.8822399564588,2215.4325055524123,2261.6065656879177,2309.069459226498,2357.473661824077,2406.469022238774,2455.711772743833,2504.8723437381896,2553.641810457009,2601.736897284898,2648.9035517994366,2694.9191705079534,2739.593609169037,2782.769143052304,2824.319558528063,2864.148559884771,2902.1876674295145,2938.393767823975,2972.746458000885,3005.245302190798,3035.907099364134,3064.763237074773,3091.857188164608,3117.2421895785137,3140.9791278857097,3163.1346440324614,3183.7794602388863,3202.9869245798623,3220.8317633840393,3237.389027852241,3252.7332189458957,3266.9375733540314,3280.0734929672853,3292.21010055452,3303.4139050701365,3313.7485610682006,3323.274707942691,3332.049876057485,3340.128448203703,3347.5616661732874,3354.397673529508,3360.681586863073,3366.4555889322537,3371.759038089849
R,0.0,344.6238981938464,639.4051320454317,918.8860132557672,1200.9465332041318,1495.244407294042,1807.389002816735,2141.0163879250977,2498.8249663999923,2883.0942202685565,3295.945555226847,3739.474031546975,4215.815151448074,4727.178714548366,5275.865705491328,5864.2761517867275,6494.911867063878,7170.375974553505,7893.370089457308,8666.6895280721,9493.216656545192,10375.91236807286,11317.805621794369,12321.980958467722,13391.563911805468,14529.70425247122,15739.557030388429,17024.261418185702,18386.917403042,19830.560424848147,21358.134114333938,22972.461344259642,24676.21386828251,26471.880883730148,28361.736914026398,30347.80946151139,32431.846929369425,34615.28734984718,36899.22848259347,39284.39985976868,41771.137351987636,44359.36081016708,47048.55530259845,49837.75641442438,52725.54000926009,55710.016771768685,58788.83175800098,61959.16908018984,65217.761747759876,68560.9065800926,71984.48400261573,75483.98243945859,79040.83411217915,82676.88424099694,86420.85618859602,90306.34829787274,94370.97929695,98656.29827924576,103208.17540433165,108077.49205607215,113321.02472872773,119002.46412651094,125193.53631959484,131975.20304040925,139438.91832003396,147687.91187131035,156838.45791605653,167021.0729092494,178381.5681113912,191081.86475434975,205300.46269948303,221232.44064963402,239088.86026721584,259095.45122235146,281490.472094753,306521.67494284804,334442.3492329053,365506.48143470375,399963.1353100112,438050.2281131222,479870.44653539173,525400.8150641271,574518.687256453,627016.3325063502,682612.6645933687,740965.0987374143,801682.2740604791,864337.4568565887,928482.0961359289,993658.9299617067,1059414.1003630813,1125307.8551963768,1190923.5570911092,1255874.8586697425,1319811.0257060397,1382420.4887228194,1443432.776397751,1502619.0319123433,1559791.3388937744,1614801.0907505045,1667536.6302193103,1717920.3689086318,1765905.5731818753,1811472.9759151773,1854627.3458780884,1895394.119487395,1933816.1746799413,1969950.8043771621,2003866.927836945,2035642.562192017,2065362.56354461,2093116.6368814695,2118997.6064733965,2143099.932978527,2165518.459824487,2186347.3692648625,2205679.327483477,2223604.7979857377,2240211.503038872,2255584.013909587,2269803.4519419097,2282947.283995261,2295089.1973269098,2306299.040581445,2316642.819090213,2326182.7341493196,2334977.2573120897,2343081.2319870065,2350545.99576893,2357419.5179490694
G,294587.0,294587.0,294607.642744219,294639.22757871315,294677.4646843212,294720.5213815749,294767.68714837835,294818.7683240667,294873.8132138087,294932.98711221816,294996.5154070331,295064.6575859315,295137.69523550087,295215.92632854945,295299.6622823334,295389.2261750923,295484.95137572644,295587.180237122,295696.26268484414,295812.5546168328,295936.4160697317,296068.2091279223,296208.2955633413,296357.03420280665,296514.7780271562,296681.8710140137,296858.64474381466,297045.41479691275,297242.47697803524,297450.1034128401,297668.53856956115,297897.9952663646,298138.6507317155,298390.6427903893,298654.06625140377,298928.9695757723,299215.35190133983,299513.1604988874,299822.2887281233,300142.57455416827,300473.799674866,300815.68929700094,301167.91258567956,301530.0837962153,301901.76408239134,302282.46395953983,302671.64638603677,303068.7304131139,303473.09534080536,303884.08530777117,304301.01423496223,304723.17103778746,305161.63839514524,305624.7395405374,306119.3628625755,306651.98195623746,307229.27104521816,307858.4945034166,308547.7771452348,309306.31607823574,310144.56678510405,311074.41914253304,312109.36870594823,313264.681834481,314557.54832765786,316007.211235115,317635.0599792902,319464.6698836946,321521.7688943195,323834.1111874643,326431.23805206397,329344.1094884255,332604.5957903929,336244.82706460386,340296.40981528553,344789.53247881914,349751.99473394494,355208.20683763037,361178.21342223394,367602.4118171373,374414.2898633282,381550.729889615,388946.87404309714,396535.7338123694,404249.52364628,412021.4983989255,419787.76727277285,427488.8482524997,435070.86489163444,442486.3609429493,449694.7507744778,456662.4479449752,463362.72684409557,469775.3765196541,475886.20428683254,481686.4414646974,487172.09621969616,492343.2902442685,497203.60774991545,501759.47759896825,506019.6026847212,509994.44505431753,513695.77077633474,517136.2551194055,520329.1461107581,523287.982840764,526026.3638227999,528557.7601659808,530895.3681457266,533051.9958564299,535039.9789137905,536871.1205721905,538556.6520817372,540107.209591284,541532.824380338,542842.9236559602,544046.3395692697,545151.3244839603,546165.570864121,547096.2344409873,547949.9595701698,548732.9059055261,549450.7756968435,550108.8411697176,550711.9715712622,551264.6595681412,551771.0467671847,552234.9481965009,552659.8756391316,553049.0597542092
H,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2381110.6927875336,2293500.5730960825,2205890.4534046315,2118280.3337131804,2030670.2140217293,1943060.0943302782,1855449.9746388271,1767839.854947376,1680229.735255925,1592619.615564474,1505009.4958730228,1417399.3761815717,1329789.2564901207,1242179.1367986696,1154569.0171072185,1066958.8974157674,979348.7777243165,891738.6580328655,804128.5383414145,716518.4186499636,628908.2989585126,541298.1792670616,453688.0595756107,366077.9398841597,278467.82019270875,190857.7005012578,103247.58080980681,15637.46111835583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
