series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,26398.9419047514,26394.56680287381,26390.98716770993,26387.863385178105,26385.000129599975,26382.284819542005,26379.652433533614,26377.06533720061,26374.501694633607,26371.94880116126,26369.3992423302,26366.84867788957,26364.294561112256,26361.735397071003,26359.170311857088,26356.598801472173,26354.02058475,26351.4355166695,26348.84353684797,26346.244638621407,26343.63885024404,26341.02622327716,26338.40682528465,26335.780735139935,26333.14803994029,26330.508832927862,26327.863212054166,26325.211278964944,26322.55313826615,26319.888896982342,26317.218664149717,26314.542550505364,26311.860668246467,26309.173130841187,26306.480052878193,26303.78154994536,26301.07773853072,26298.368735940403,26295.65466022969,26292.935630144188,26290.211765068787,26287.48318498273,26284.75001041936,26282.01236242953,26279.270362547864,35659.459693847486,45038.61259661858,54416.78611548523,63793.92843158876,73169.96324705762,82544.78311462943,91918.24312762238,101290.15454048777,110660.27748086936,120028.31196035449,129393.88646355573,138756.54339371427,148115.72056930218,157470.72780861723,158071.3935212274,158034.47761107885,157993.0014156939,157946.27273663832,157893.5781332858,157834.15068779164,157767.15459715776,157691.67587468744,157606.71575904317,157511.18585935875,157403.904908231,157283.59731495957,157148.89385058385,156998.33486089247,156830.376423621,156643.39984616032,156435.72483712042,156205.62657480658,155951.3567362145,155671.1683443726,155363.3440489402,155026.22719124338,154658.25474342937,154257.99097995993,153824.1605673921,153355.6796713135,152851.6836955233,152311.55039440875,151734.9173274732,151121.692934308,150472.06086785614,149786.47759714225,149065.6636416829,148310.58909812756,147522.45434424438,146702.66694607894,145852.81585144642,144974.6439358903,144070.01989052392,143140.91032206328,142189.35279114687,141217.43036108834,140227.24807784954,139220.9116621584,138200.50857193646,137168.09149033172,136125.6642122643,135075.16983952,134018.4811491273,132957.3929695732,131893.61638173877,130828.77455372742,129764.4000187071,128701.93321047461,127642.72208098753,126588.0226362251,125539.00024034934,124496.73155241457,123462.20697420152,122436.33350169145,121419.93788594547,120413.77002152402,119418.50649196253,118434.75421216515,117463.05411688768,116503.884852783,115557.66643882748,114624.76386639875,113705.49061590395,112800.11207173718,111908.84882154706
E,0.0,4.375101877588074,7.0796694084528005,8.787441587802757,9.893113931149891,10.62969434279027,11.136026666376537,11.495797380731311,11.76015630016107,11.960891485590118,12.11814282440939,12.244947806491469,12.349942759164271,12.438984851141242,12.516138735599318,12.584286180790672,12.64550973810827,12.701339280987742,12.75291405327742,12.801091719059752,12.846523482104484,12.889706991318276,12.931024357879275,12.970769957040956,13.00917106199246,13.0464033439476,13.082602628618364,13.117873880875784,13.152298111270353,13.185937708769487,13.218840572228288,13.251043319325348,13.282573783710358,13.313452961023785,13.343696527049632,13.373316023031975,13.402319781692901,13.43071365101637,13.458501560172209,13.485685962139891,13.512268179979637,13.538248677780622,13.56362727270891,13.588403300985691,13.61257574782394,13.636143349163104,14.691425704202334,16.515024094083905,19.005085871580718,22.10460903193895,25.799141977885775,30.114583007156998,35.11548934504318,40.904632882055445,47.624346076905724,55.46002033395216,64.64604814554798,75.4745257429044,88.30712713025598,103.59070379729287,119.78735425528038,137.30478491055095,156.57102389152385,177.94973126967997,201.7853083925348,228.42215777146305,258.21398139410525,291.5285116708846,328.74956008680635,370.2770482211388,416.52523231465625,467.9191511457439,524.8892563967651,587.864172817227,657.2615659215847,733.4771623909479,816.8720696004775,907.7586708593374,1006.3855234080586,1112.9218437232603,1227.4423114917618,1349.9130388352037,1480.1796135024083,1617.958115265043,1762.8299119765913,1914.2408642301134,2071.5053158975534,2233.8149443664183,2400.252220189798,2569.807916369143,2741.40184612515,2913.905821209971,3086.167726078628,3257.0355996208573,3425.3806971139525,3590.1186532022475,3750.228059585614,3904.765985086768,4052.880179346349,4193.81789735987,4326.931448579306,4451.68070491407,4567.632894959795,4674.460069073946,4771.934645858353,4859.923450880561,4938.380639167414,5007.33985999293,5066.9059809542705,5117.246642602453,5158.583868345154,5191.185909445769,5215.359463388718,5231.442366687936,5239.7968308837735,5240.803263113339,5234.854690085072,5222.351786194019,5203.698492427838,5179.298202133665,5149.550482132623,5114.848292590708,5075.575666027467,5032.1058044587735,4984.799553569113,4934.004213684919,4880.052648914749,4823.262657920481,4763.936572212002,4702.3610504770695
I,24.09726325220639,14.52908158118817,9.102586453606502,6.042484476457432,4.331131520354806,3.3858523179664903,2.8735721409916093,2.6043377052907113,2.470170764062355,2.409971618223992,2.389389587659224,2.389290056903194,2.399156710841154,2.413324972758991,2.4288379878084445,2.444231157864216,2.4588470188062983,2.4724521907636485,2.4850257238241724,2.4966441698914035,2.5074208252318293,2.5174749782550814,2.5269175095198086,2.5358451855666932,2.5443393948775332,2.552467001019707,2.560282070429021,2.567827834481424,2.5751385758400778,2.5822413064624765,2.5891571967918154,2.595902760889979,2.6024908222004837,2.6089312913246925,2.615231787310364,2.6213981310936534,2.627434735802565,2.633344914575928,2.639131122818122,2.644795148565092,2.650338261912556,2.6557613322185993,2.661064919979829,2.6662493488264483,2.671314761923865,2.6762611661510105,2.1544270378298886,2.0250973405721355,2.115327350553798,2.3469031228918094,2.6835961772454846,3.109561186887994,3.6203900471872625,4.219346157038201,4.915800213220126,5.724700277429696,6.666630409903503,7.768299651431703,9.06342188985942,10.594002747490848,12.412083434948466,14.418408803761626,16.6045833277596,19.000704499128126,21.647464634571094,24.588351455828356,27.867988115321488,31.532186905056328,35.62834142253783,40.20574622141531,45.315729064281356,51.01156565041124,57.34816691222953,64.38153166174644,72.16795753010396,80.76300559137674,90.22022033474678,100.58961712325095,111.91596372099681,124.23690011526826,137.58096035613525,151.96557954734104,167.39518602567045,183.85949049544251,201.33208790636866,219.76948223363033,239.11062813554105,259.27705719120854,280.17362199370706,301.6898520204753,323.70187499101417,346.07482062986537,368.6655941865097,391.3258874828808,413.9052870233678,436.2543416949751,458.22746539804655,479.6855702507431,500.49835100789744,520.5461682070489,539.7215038091877,557.9299867997426,575.0910060648631,591.1379431996397,606.0180686206933,619.6921507384698,632.1338305582411,643.3288136295921,653.2739284975062,661.9760964335374,669.4512518691681,675.7232471339731,680.8227692232795,684.7862906797475,687.655071470946,689.4742241010683,690.2918501669884,690.1582531673237,689.1252295751644,687.2454379460228,684.5718440949113,681.1572390770935,677.0538257817798,672.3128693352726,666.9844061527551,661.117006324899,654.7575840319091,647.9512508050404,640.7412066716379,633.1686644975814
A,37.4706090266066,35.94909458288612,35.021933934553886,34.461642418943164,34.13198533102271,33.9503052981814,33.86566485346002,33.846096040108755,33.8711159552518,33.9272997738529,34.00563728644463,34.09993573379886,34.20584084303871,34.32022643071688,34.44080623449177,34.56588160855911,34.69417367308947,34.82470898242911,34.95673984646343,35.08968761317927,35.2231015286731,35.35662841180267,35.48999000028413,35.6229658444084,35.75538027962202,35.88709243980961,36.017988562885314,36.147976039910525,36.27697879953408,36.404933720565914,36.53178783936291,36.65749617352553,36.78202002458137,36.905325653561704,37.02738324724175,37.14816611115888,37.26765003968478,37.38581282439844,37.50263387052654,37.61809389784721,37.73217470761849,37.84485900112152,37.956130238553925,38.065972529465,38.17437054784404,38.281309466473466,38.38677490633151,38.61641514812296,39.05871348829795,39.786162004189634,40.861370459763286,42.34264715319919,44.28908528740923,46.765236967831754,49.84554333089384,53.618748618615626,58.19256086738482,63.698846671318826,70.29967436467365,78.19455721854776,87.62930144356373,98.65252666834789,111.36050753141649,125.8977123437391,142.44701077139302,161.2257702040373,182.48445509777247,206.50641505629721,233.60825740523316,264.1404540159059,298.4879272646768,337.0703960794127,380.3422755420412,428.791926933682,482.9400569421174,543.3370702145312,610.5591928880635,685.2032099594727,767.8796994042284,859.2047026931189,959.7898449610988,1070.2310065720417,1191.0957467442263,1322.9097823695038,1466.1429223122552,1621.194939389077,1788.3819192090843,1967.9236490868623,2159.9325963560045,2364.4049726388776,2581.214292324433,2810.107716972406,3050.7053428216323,3302.502447727317,3564.8745782783453,3837.0852376320527,4118.295837304901,4407.577506287917,4703.924309871458,5006.26741724235,5313.489767990207,5624.440818552661,5937.950995166812,6252.845534902639,6567.9574561027475,6882.139460033132,7194.274623607128,7503.2857963956485,7808.143662302957,8107.8734664830245,8401.560441068905,8688.353989278672,8967.470706932494,9238.196334037466,9499.886737638362,9751.96803139144,9993.935938074006,10225.354499221896,10445.854231945823,10655.129827289926,10852.937477751206,11039.091914184712,11213.463224607574,11375.97351964789,11526.593501764079,11665.338988037185,11792.267429419395,11907.47446287788,12011.09052694603,12103.277565803324
IH,0.0,4.74904041563093,6.718433151869036,7.247660362990864,7.074185931909362,6.596096685295255,6.021710253580597,5.454488407418228,4.940981438090625,4.497696773122793,4.125993039953864,3.820203351780025,3.5719565570392366,3.3723847734121772,3.2131730643827834,3.0869889839370086,2.9875917214055576,2.9097856780325615,2.849307291711466,2.80269145367222,2.7671404213701702,2.740405433537585,2.7206845496866263,2.7065368826020415,2.6968118513339734,2.6905915026449496,2.687143858127781,2.6858853838703376,2.686350911592532,2.6881695936506964,2.691045715021944,2.694743398944052,2.699074425162233,2.7038885316259686,2.709065695097875,2.7145099873196674,2.72014468495322,2.7259083769570687,2.7317518653830803,2.7376356973168994,2.7435281989281903,2.7494039090445037,2.755242330690618,2.7610269357475725,2.766744371165471,2.772383825716007,3.3022781796305836,3.526446932183406,3.657291276029842,3.79893442920966,4.00500613701441,4.3047266528050265,4.715550329642187,5.249895059461978,5.9191161213025865,6.736112568157963,7.717232077449963,8.883838728386028,10.263776940072884,11.892905161085796,13.816846434472682,16.093094816087714,18.729180022785624,21.727901331808635,25.10338317509706,28.883106753861878,33.10648557599455,37.82305651851591,43.09103407615574,48.97629243261612,55.551665900834394,62.896433725373,71.09586871178955,80.24074803675255,90.42674096858829,101.75360157129002,114.32410624961157,128.24268801996556,143.61373327027792,160.53952371517428,179.11782694210467,199.43916340027448,221.58380516178138,245.61859072418966,271.5936682115436,299.5393036917671,329.46290886596444,361.3464502325649,395.1443978448222,430.7823549894659,468.15648099815553,507.1337799544145,547.5532815774836,589.228091226687,631.9482382484886,675.4842099462965,719.5910256200766,764.0126835444077,808.4868042518126,852.7492956286864,896.5388776509983,939.6013249182721,981.6933109653361,1022.5857670882101,1062.0666977826133,1099.9434229245448,1136.0442420673126,1170.219537730469,1202.3423518148575,1232.3084821837547,1260.0361551926376,1285.465334929911,1308.5567316770484,1329.2905711974431,1347.665183512593,1363.6954653824453,1377.4112652756817,1388.8557336251029,1398.083674965582,1405.1599324241915,1410.1578291809603,1413.157686089518,1414.2454297324316,1413.5113008363905,1411.0486692038053,1406.952958120642,1401.3206785477246,1394.2485712542357,1385.832853360077,1376.1685644666811
IN,4.819141255387291,8.743530040353491,10.025779109330085,9.98472874432188,9.339319200137233,8.4714920277324,7.575747552299817,6.743863287879151,6.012588548326078,5.390255281719603,4.871429323311454,4.444815757874838,4.0973900802816665,3.8164428708843254,3.5904915797217227,3.4095942474591836,3.2653619015779625,3.1508316353191406,3.0602866465981386,2.9890673615180576,2.9333946417514363,2.890213665660539,2.857060645396983,2.8319514103411176,2.8132895356902687,2.7997912756868004,2.790424604839206,2.784359922672728,2.780930303339051,2.7795995027817635,2.779936241475062,2.781593547812847,2.784292173747098,2.7878072827245988,2.7919577647713436,2.79659765965613,2.8016092711662703,2.806897637886393,2.8123860921274986,2.818012691861359,2.82372735319545,2.829489545134573,2.835266435786721,2.841031401130224,2.846762825050765,2.8524431334507714,2.8580580165272944,2.7582703223345115,2.65114557904009,2.5819551341321687,2.571923190016993,2.6310881005446456,2.7644555742451375,2.9752203639461294,3.266636701918031,3.643228637197475,4.111669674226314,4.681510818143151,5.365871236631229,6.18217665101739,7.153017993826099,8.307199390738099,9.64832726285902,11.177659443430272,12.902239337864025,14.835940565544286,16.998757863666263,19.415897672966935,22.117048312189628,25.135864084722797,28.509609095285633,32.27889364672796,36.48744252572962,41.181843773387506,46.41123463701645,52.22688802824554,58.681668700078895,65.82933440456425,73.72366431327666,82.4174055884584,91.96103952919054,102.4013811962123,113.7800404632508,126.13178725989361,139.48287818289248,153.84941419311298,169.23580820155024,185.63344551054382,203.01961821191284,221.35680624054172,240.59236306869633,260.6586440030471,281.4735913827822,302.9417657942504,324.9557879943147,347.39813469886576,370.1432144541881,393.05963857745746,416.0125970668247,438.8662502391461,461.4860529258868,483.74093825334234,505.50530107525515,526.6607357160303,547.0974976321098,566.7156729158434,585.4260525013285,603.1507189879063,619.8233629106073,635.3893519921959,649.8055814969862,663.0401364695447,675.0717976460935,685.8894224690804,695.4912312164008,703.8840260608308,711.0823681582847,717.1077348454794,721.9876758896357,725.754984617942,728.4468967701457,730.104327139863,730.7711515483045,730.4935394554163,729.3193405678352,727.297527147236,724.4776923436575,720.9096037567181,716.6428105396992,711.7263016816039
D,391.0,391.0,391.0048639291207,391.0117448944933,391.0191678901327,391.0264132146505,391.0331688839948,391.0393362713605,391.04492271465887,391.049983228236,391.05458973321305,391.05881554220656,391.06272816385297,391.06638653312234,391.0698405025709,391.07313140866347,391.0762930780325,391.0793529455221,391.0823331246858,391.08525136237114,391.08812185648884,391.0909559395243,391.0937626407995,391.0965491441036,391.0993211574805,391.10208321055836,391.10483889280493,391.10759104400165,391.11034190627913,391.11309324534636,391.1158464470932,391.11860259454045,391.1213625291259,391.1241268995137,391.1268962004708,391.1296708038372,391.132450983204,391.135236933583,391.13802878708907,391.14082662544917,391.1436304899828,391.1464403895693,391.149256307011,391.15207820411734,391.15490602576983,391.15773970317383,391.16289893035804,391.1690442567,391.1756067466075,391.1824127293855,391.18948230092036,391.1969353585898,391.20494617677514,391.21372151128094,391.2234912268065,391.2345063194918,391.24704178978095,391.26140306008966,391.2779353100048,391.2970355357782,391.3191674639178,391.344879722467,391.3748279321928,391.4096817261786,391.450115946782,391.49683172101595,391.55058131663327,391.61219034737866,391.68257661192445,391.76276624235663,391.85390795836116,391.9572860195747,392.07433221918615,392.2066370375662,392.3559598855466,392.5242382082864,392.7135950868131,392.9263448624032,393.1649962194298,393.4322520985897,393.7310057802426,394.06433248391187,394.4354758818287,394.8478290273643,395.3049093560155,395.8103276256982,396.36775091752526,396.98086010530636,397.6533025036699,398.38864069895504,399.19029883002395,400.061507794964,401.0052509950542,402.0242122762812,403.1207276857799,404.29674252886457,405.55377500254923,406.89288741059266,408.3146656540821,409.81920736286736,411.40611870843713,413.0745196370358,414.82305699786224,416.64992482528424,418.552890871611,420.5293283792145,422.57625202520467,424.69035696325295,426.8680599185662,429.105541355531,431.39878782508976,433.7436337027156,436.1358016409289,438.5709411766221,441.0446650481111,443.5525828859895,446.090332042759,448.65360541699266,451.2381762074316,453.8399196005153,456.45483145155356,459.0790440655569,461.70883921945523,464.34065859399715,466.97111180209345,469.5969822118248,472.2152307678421,474.822998015459,477.41760452831056,479.9965499338756
R,0.0,2.4162669141415734,6.388484588736928,10.929830622485332,15.539884880917263,19.984244856977988,24.17059440128103,28.07966199220118,31.727287931440415,35.14401896359538,38.36449416040834,41.422232146975325,44.347342059129005,47.16577078256552,49.899318323942346,52.56600322615912,55.18055640458485,57.75493090305208,60.2987747510742,62.819845984504646,65.32436528594657,67.81730958834545,70.30265329739001,72.78356472160688,75.26256506431905,77.74165658407695,80.22242561373724,82.70612521485336,85.19374141160428,87.686046225692,90.18364012392105,92.68698598521067,95.19643628062013,97.7122548246524,100.2346341854798,102.76370962415517,105.29957025838891,107.84226800679323,110.39182475780402,112.9482381182441,115.51148602520674,118.08153044801085,120.65832036151996,123.24179413580977,125.8318814581694,128.42850488025073,131.03158106466336,133.73918796515326,136.4795607297687,139.24250020752928,142.04864993087273,144.9351768078506,147.94894972759144,151.14343425094444,154.57763512263517,158.3163099238573,162.4310746421295,167.00221843248573,172.1211580044601,177.89353970396323,184.44305993772454,191.9161320367325,200.47725543572884,210.29691814281924,221.5522319926975,234.43168641308318,249.14031799166685,265.9044248283205,284.97576476898365,306.6353625934429,331.19705548493147,359.010865191516,390.4662388423934,425.9951581612533,466.0750799973299,511.23163891750414,562.0410143762381,619.1318405990894,683.1865173337258,754.9417651685173,835.1882617386648,924.7691965782134,1024.5775943034632,1135.552279509027,1258.6723927834041,1394.9504151558547,1545.4237164065762,1711.1447080764358,1893.1697506346377,2092.5470312289553,2310.3036885628426,2547.4325097949772,2804.878556872917,3083.5260936699206,3384.186179619387,3707.585270892867,4054.355128786927,4425.024280360774,4820.0112127808725,5239.619414855747,5684.03431129022,6153.322071117906,6647.4302146542295,7166.189895300342,7709.319694842712,8276.4307439065,8867.032962595935,9480.54220921548,10116.288126070602,10773.522479253294,11451.427802517203,12149.126172374861,12865.687961059373,13600.140434806726,14351.476086047262,15118.660608758091,15900.640445825187,16696.349855370212,17504.717459339612,18324.6722520848,19155.149059137115,19995.093446932548,20843.46609296036,21699.246632827097,22561.437006199834,23429.064327688324,24301.183311618486,25176.878281508743,26055.264796047566,26935.49092363531
G,33351.0,33351.0,33351.342495758516,33351.896712965776,33352.58461956915,33353.3590814342,33354.19120496608,33355.0629656717,33355.96289028004,33356.88350967702,33357.81984321084,33358.76848683893,33359.72705713154,33360.69384673582,33361.66760681523,33362.64740672615,33363.6325414182,33364.6224688692,33365.61676681995,33366.61510219457,33367.61720905764,33368.62287245186,33369.63191637736,33370.64419474704,33371.659584518355,33372.67798044037,33373.69929101421,33374.72343537382,33375.75034087011,33376.77994119574,33377.812174927356,33378.84698439126,33379.8843147803,33380.924113466215,33381.96632946436,33383.01091301723,33384.05781527078,33385.10698802331,33386.15838353089,33387.2119543572,33388.26765325791,33389.325433092316,33390.385246756,33391.44704713024,33392.510787044375,33393.576419248275,33394.64389639287,33395.79398412362,33397.08682846468,33398.57460211735,33400.305015499456,33402.32464771557,33404.68210526467,33407.43104837397,33410.63318255454,33414.36135551823,33418.70292795768,33423.76360949473,33429.67197589765,33436.58491583253,33444.694298805734,33454.07160290152,33464.82022265289,33477.07705988539,33491.00748479755,33506.80382833166,33524.685382264914,33544.899127199584,33567.7208309055,33593.45630703697,33622.44267627808,33655.04948850183,33691.67956685871,33732.769431514644,33778.789156633335,33830.24151245533,33887.66024786203,33951.60738027529,34022.669381395135,34101.452180708664,34188.57495446317,34284.662725050046,34390.33786201855,34506.21064707574,34632.86913582363,34770.868612116596,34920.720980157115,35082.88446898255,35257.75402977433,35445.65278682788,35646.824859200315,35861.429805771506,36089.538867548836,36331.13309456848,36586.10335798502,36854.252167518054,37135.29714559878,37428.87595583221,37734.55244641567,38051.823748898176,38380.12806775035,38718.852904334264,39067.34347720684,39424.911126314975,39790.84151874931,40164.402505863676,40544.85151372821,40931.44237953459,41323.43157463799,41720.083779735505,42120.676798916385,42524.505816910954,42930.887017942245,43339.160595408495,43748.69318953738,44158.87979553428,44569.14518798679,44978.94490876161,45387.76586568781,45795.12658827525,46200.577184843656,46603.69904297101,47004.10431230527,47401.43520568213,47795.36315128152,48185.58782533792,48571.83609177013,48953.86087207194,49331.439965945,49704.37484048489
H,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,131994.709523757,122611.77396267073,113228.83840158448,103845.90284049822,94462.96727941197,85080.03171832571,75697.09615723946,66314.1605961532,56931.22503506695,47548.289473980694,38165.35391289444,28782.41835180818,19399.482790721922,10016.547229635664,633.6116685494053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
