series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,1749113.7089850835,1747249.46720759,1745730.8112891058,1744423.5353340334,1743246.1201843498,1742148.7691897675,1741100.9682966988,1740083.9973106754,1739086.3800802925,1738101.103574882,1737123.9111977909,1736152.2522989172,1735184.6341039513,1734220.221105979,1733258.5869426986,1732299.560389146,1731343.129523453,1730389.3819000681,1729438.467043961,1728490.5728054554,1727545.910340307,1726604.7044717562,1725667.1874230138,1724733.5946708818,1723804.1621433552,1722879.124276787,1721958.7126298563,1721043.1548644735,1720132.673973978,1719227.487682751,1718327.807968688,1717433.8406770893,1716545.7852052597,1715663.8342438946,1714788.1735656222,1713918.9818538274,1713056.4305666562,1712200.6838322647,1711351.8983721577,1710510.223449988,1709675.8008435646,1708848.7648380862,1708029.2422388243,1707217.3524016326,2319558.0283265067,2931576.0196167263,3543298.1798488884,4154714.5185047444,4765788.780106952,5376456.443265479,5986622.393698517,6596156.396259721,7204885.257572016,7812580.834279699,8418942.939400857,9023575.862073673,9625956.74330412,10225393.520153277,10369206.532654257,10347581.987038372,10321212.855837978,10289048.808909565,10250002.480576137,10202931.978017509,10146665.913938943,10080054.226996794,10002036.333791766,9911718.67847083,9808452.082535828,9691898.221708987,9562075.470385896,9419377.494457662,9264562.555258444,9098716.175587522,8923193.382013999,8739548.528599517,8549460.75532578,8354661.924677029,8156872.0358901685,7957745.168027847,7758827.289559289,7561525.949460524,7367090.958399106,7176604.630612079,6990979.909994329,6810964.6665201215,6637150.549850115,6469984.968634506,6309784.984066465,6156752.134992095,6010987.430068019,5872505.938734317,5741250.581562047,5617104.860247056,5499904.379150939,5389447.096374108,5285502.306208881,5187818.4000482755,5096129.482924417,5010160.941037988,4929634.064741175,4854269.833840415,4783791.969751955,4717929.353534948,4656417.9013552405,4599001.980410924,4545435.43944468,4495482.319146374,4448917.299325708,4405525.931903948,4365104.701642925,4327460.950141951,4292412.692988325,4259788.3550144825,4229426.44434625,4201175.182263604,4174892.10277538,4150443.6331696366,4127704.664581727,4106558.119766302,4086894.5237163533,4068611.5814960664,4051613.7666042177,4035811.9223256824,4021122.8778296504,4007469.0802080655,3994778.243194113,3982983.012939235,3972020.650942035,3961832.734000027
E,0.0,1864.2417774936023,3010.049340479066,3715.31542745562,4149.667491647992,4417.084987900724,4581.468883389338,4682.14609273479,4743.334104570719,4779.94378906709,4801.147408344737,4812.576825549425,4817.679655405363,4818.556722296623,4816.479541117892,4812.210186446853,4806.199014850373,4798.706835265196,4789.880324319433,4779.798497961021,4768.501263517249,4756.006879364669,4742.322552234031,4727.45079391943,4711.393162661942,4694.152396697638,4675.733564288853,4656.1446168139855,4635.3965839466055,4613.503558384432,4590.482560770557,4566.353340215233,4541.13814400177,4514.861476566613,4487.5498595257595,4459.231599415364,4429.936566703571,4399.6959877543495,4368.542250310447,4336.508722418043,4303.629584358013,4269.939672964802,4235.47433763382,4200.269307298762,4164.360567675035,4458.318210630914,4989.315383053114,5719.934697296858,6646.507202339682,7794.36365005488,9214.361533716983,10982.307712480208,13201.805904400939,16010.689062547273,19591.267175590827,24184.912114366896,30111.869507756906,37797.53980375951,47806.718369219496,59869.920311261376,74265.06744940202,91576.10088793401,112307.20904377587,136916.26979364816,165799.0799134846,199250.95087293687,237418.65390337844,280252.5784436398,327468.6586899136,378528.787778771,432645.78154610813,488814.6011651199,545866.6201313151,602539.6757759736,657554.5341943027,709688.4807699234,757838.557889676,801069.6769604908,838645.6303552531,870043.3721465239,894952.5761857769,913263.4010473865,925045.7118993278,930522.8973064891,930043.0384629414,924049.6742445612,913053.856065656,897608.6660681332,878286.9174225469,855662.3830124075,830294.6113340016,802717.1804009028,773429.1014929921,742889.002509385,711511.6831036245,679666.62925973,647678.0935730117,615826.3810190149,584350.0219390708,553448.5594376846,523285.7238469608,493992.8099783283,465672.1120711227,438400.3058739055,412231.69687883224,387201.2784473823,363327.56372415065,340615.17127762624,319057.15684276726,298637.0928959741,279330.90457780234,261108.47516321565,243935.03728419947,227772.36780120214,212579.8049091946,198315.10601000176,184935.16429622576,172396.601042724,160656.24942208914,149671.54435309637,139400.83153242554,129803.6074462274,120840.70084883075,112474.40495759997,104668.56846211184,97388.65239127445,90601.7589269722,84276.63739645574,78383.67191436474,72894.85447349946
I,1987.3400616566591,1819.0297945475338,1734.704309895935,1700.3784121828055,1695.3394955172334,1706.9739007476385,1727.6254981357938,1752.676726336909,1779.3720807622433,1806.0952584692052,1831.9245716216246,1856.3594719269004,1879.152458196413,1900.20594551984,1919.5091931234722,1937.099929817044,1953.0411938631169,1967.4075299411713,1980.2769247870133,1991.7262466587836,2001.8288092719567,2010.653210013197,2018.2629196114228,2024.71630294332,2030.0668758441116,2034.3636801119874,2037.6517065564965,2039.9723252343958,2041.3636999361515,2041.861174869578,2041.497628023566,2040.3037895524967,2038.3085257349762,2035.5390902698007,2032.0213452742132,2027.7799545895396,2022.8385520280665,2017.2198871050118,2010.9459506468584,2004.0380824860201,1996.5170632617446,1988.4031921598173,1979.7163522452734,1970.476064876082,1960.7015345328693,1862.7872346430547,1788.5364777044044,1743.7538992438458,1732.093556266635,1756.5995041033166,1820.8694286358646,1929.937822770953,2091.023299902358,2314.285726831451,2613.7259951943192,3008.352689310278,3523.7433424892743,4194.144741908814,5065.284513477902,6198.099661235057,7635.563209758075,9425.483695172219,11631.3259303144,14327.202289369241,17594.762903124534,21519.898321269593,26188.432312792935,31680.5744847866,38064.30115752751,45388.16852737112,53674.32308316526,62912.602011237715,73056.5647555667,84022.06783143847,95688.64424930354,107903.56457225114,120488.12513847306,133245.48805653641,145969.30643876494,158452.3936637544,170494.80515469058,181910.85799472482,192534.7846915277,202224.87826056508,210866.12165071614,218371.39858027518,224681.45420471087,229763.81560895214,233610.8988426103,236237.52676869064,237678.06593185468,237983.3659148344,237217.6553330382,235455.51789482485,232779.04213714515,229275.21108065703,225033.57405437343,220144.22274615805,214696.07720810664,208775.47489994313,202465.04654444527,195842.85616461904,188981.77870745555,181949.08667304448,174806.21673014463,167608.6880248479,160406.1454451918,153242.50321345677,146156.16661396108,139180.31225021204,132343.20982667818,125668.57096905535,119175.91296486513,112880.92748021855,106795.84626457214,100929.79758401157,95289.1486266185,89877.8304101017,84697.64280652403,79748.53819915428,75028.88302129641,70535.69701588002,66264.87051669501,62211.360405492844,58369.36566048436,54732.48359621584,51293.8480159489,48046.250567416704,44982.24662152058,42094.24699003362
A,8638.967710000496,6914.381735665255,5837.1906095834,5161.341312129512,4735.0842763852825,4464.544225526094,4291.492710901231,4179.71538597213,4106.621720562256,4058.068566022025,4025.160597819384,4002.26962533195,3985.8067239413867,3973.459989264729,3963.720624733133,3955.587775934302,3948.3842978940893,3941.641449324287,3935.026469605783,3928.296875703379,3921.2714388224413,3913.8115974045027,3905.8094194924347,3897.179691230921,3887.8546183038993,3877.780193450658,3866.9136360360585,3855.221529746364,3842.678421984548,3829.265734601826,3814.970889595438,3799.7865873790106,3783.7101966965392,3766.7432288821947,3748.8908778841246,3730.161613094002,3710.56681569507,3690.1204516738017,3668.838776281999,3646.7400658690804,3623.844373806241,3600.1733078078796,3575.7498263929574,3550.598052565911,3524.7431030632697,3498.2109317278423,3524.771636264606,3632.367998107388,3837.280705355753,4151.943797146864,4590.427796558565,5172.263563642254,5925.408918746375,6889.0860332023185,8117.098273029216,9682.151155256186,11681.68215283082,14245.748031892383,17547.610841542315,21817.777934250786,27196.923652055408,33842.82863406241,41976.7223740932,51857.6495517312,63767.39113395656,77995.83143010025,94823.00193830502,114496.89622323951,137207.93474297193,163062.33664452727,192057.6227409745,224063.81588418578,258813.47095427153,295902.5187359002,334802.3314180349,374881.8123535011,415437.04158222384,455725.285446899,495000.03972724837,532544.1195723012,567698.4657202356,599885.1283152491,628623.6731254014,653540.9341707728,674374.562167936,690971.1768398586,703280.1345966841,711343.9966020202,715286.7564501676,715300.7920984479,711633.3704304161,704573.3770240287,694438.785172689,681565.2287347151,666295.9104074474,648972.9644788497,629930.3022980927,609487.8990489377,587947.4301078693,565589.1318288563,542669.7422248445,519421.36890308734,496051.13212019845,472741.43760204787,449650.7448133603,426914.7100080719,404647.59833257215,382943.87449002656,361879.8962768939,341515.6491725992,321896.47278556897,303054.74116448633,285011.46871397895,267777.8217304538,251356.5224731215,235743.13831935808,220927.25305412666,206893.52084997526,193622.60614650426,181092.01456929778,169276.82136132085,158150.30464577235,147684.49129637642,137850.62334397668,128619.55276931939,119962.07228157701,111849.18931033977,104252.34998591848,97143.61938108644,90495.82376203917
IH,0.0,88.81496230322003,125.34308808764504,139.69157704904438,145.27402742646132,147.81759050209845,149.59907929579998,151.4055801819544,153.4211075611214,155.6137834004495,157.89556382607182,160.1815907342231,162.40740696443936,164.52998247655148,166.52361435376775,168.37507459061533,170.07948854557026,171.6372557230544,173.05190569644546,174.32867430088766,175.47359364900456,176.49293193307363,177.39286366042802,178.17928776080868,178.8577383020196,179.43335168412068,179.9108671276639,180.2946458220355,180.58869964994813,180.79672395761713,180.92213108897374,180.96808280974173,180.93752061767626,180.83319346589622,180.65768274346516,180.413424541621,180.10272933616312,179.72779926843333,179.29074322906075,178.79358995260063,178.23829932505816,177.62677209475058,176.96085816286498,176.24236361510845,175.4730566409961,261.57280064849556,295.1778709442243,305.07328014034067,305.93862184210445,305.3221162899598,307.2091861411694,313.88202164936297,326.9133316828352,347.72201440953734,377.91419227420783,419.5314061908217,475.27699215826505,548.7669933342179,644.8413228668367,769.9681417753488,932.7760519847827,1141.3508495990977,1403.943499232535,1730.2855894410613,2131.7887876785026,2621.365005445276,3213.043210193814,3921.395935528004,4760.761324251807,5744.268790683482,6882.717331048234,8183.39897483729,9648.992672266108,11276.665440785597,13057.502790414019,14976.351815699602,17012.106985164937,19138.412781157615,21324.71010760885,23537.521999377248,25741.860991231202,27902.643827459156,29986.01484580233,31960.502353032327,33797.95799383219,35474.25389277051,36969.733838312095,38269.43172699873,39363.08253975975,40244.95854713521,40913.56687404073,41371.244808126205,41623.68714939954,41679.4362518782,41549.36086793205,41246.14500734692,40783.80316730122,40177.23375601654,39441.81849769225,38593.07216190027,37646.3441358281,36616.57113604987,35518.078691116694,34364.4278525859,33168.30283720635,31941.43489248374,30694.557540756505,29437.388428566173,28178.633231848948,26926.007395283916,25686.271876541126,24465.279491733247,23268.028892843635,22098.723633291203,20960.834181374576,19857.16111470845,18789.898066957478,17760.693298887607,16770.7090286909,15820.677882837725,14910.956020497746,14041.572644600079,13212.275743967948,12422.574016891173,11671.775010192549,10959.019572372745,10283.312767649519,9643.551432262318,9038.548577646747,8467.054859077574
IN,79.49530480590536,146.33807150628206,195.80953361635255,234.03398550329325,264.80153687276345,290.4705384740463,312.51942684037317,331.8850775824798,349.1705460090681,364.7726821059424,378.9605193865029,391.92340346589344,403.80052119492683,414.6990060711933,424.7050366566756,433.89064562239224,442.3179100448961,450.0415483466721,457.1105517721046,463.569233615057,469.45792902525955,474.81348598825093,479.66963168810696,484.05726414606727,488.0046982739567,491.53788303819243,494.68059906028753,497.45464168939395,499.87999214667127,501.97497800999236,503.75642362344774,505.2397907024015,506.4393092953799,507.36809926055133,508.0382824599626,508.4610859369689,508.6469364042496,508.60554642305283,508.34599269548494,507.8767869201749,507.20593967837226,506.34101782399597,505.2891958490902,504.0573016872769,502.65185740368645,501.0791152018737,495.84003607443435,488.4647192104185,480.4719223465732,473.2848418991852,468.2219219929429,466.5356726181287,469.4806372734337,478.40043600147095,494.83124054852885,520.6247719606013,558.0983894941553,610.2237428420542,680.8694123101991,775.1173959869998,899.6783693243693,1061.9138889425726,1269.9262224520182,1533.066720762267,1862.1629245311724,2269.58512931114,2769.1704597994153,3375.986736819546,4105.912027428647,4975.016343508817,5998.754270078922,7191.006506217744,8563.037966268188,10122.462969518372,11872.318122469813,13810.337940062298,15928.508205398137,18212.941951385084,20644.088787769597,23197.255928230836,25843.39306830043,28550.0756195224,31282.61224188334,34005.20225589509,36682.07464689995,39278.55096379072,41761.98748037353,44102.565828229635,46273.91461056748,48253.55635928998,50023.18406582964,51568.77917138644,52880.58834937723,53952.97982033492,54784.20157566729,55376.06406970525,55733.56899871441,55864.50403473611,55779.02110220987,55489.21321518248,55008.702225982306,54352.24722140777,53535.38084765093,52574.07862246253,51484.46434467539,50282.553055413184,48984.03164208137,47604.076092228875,46157.203577250395,44657.15694787006,43116.81882394502,41548.15222935309,39962.16462858997,38368.89223726673,36777.40157874782,35195.80542153678,33631.29043769122,32090.154155609664,30577.84902796603,29099.031687005754,27657.615706845518,26256.826429859157,24899.256637439445,23586.92205159116,22321.315841296833,21103.461475694785,19933.963414830738,18813.05525864125,17740.645086839522,16716.357817706263
D,8658.0,8658.0,8658.35750728645,8658.862051409818,8659.424352573446,8660.009124800894,8660.60413564478,8661.206317523907,8661.815771119567,8662.433337827088,8663.059730723002,8663.695308480419,8664.340088192726,8664.993827493598,8665.656110807684,8666.326419097564,8667.004180079064,8667.688801846092,8668.379694100684,8669.076280752482,8669.778006786963,8670.484341470692,8671.194779301622,8671.908839631977,8672.62606555897,8673.346022456126,8674.068296372541,8674.792492434122,8675.51823332189,8676.24515786592,8676.972919771175,8677.701186478347,8678.429638155198,8679.157966809913,8679.88587551605,8680.613077738051,8681.33929674636,8682.064265111794,8682.78772426946,8683.509424143389,8684.22912282389,8684.94658629041,8685.661588173489,8686.373909550077,8687.083338767176,8688.495993731209,8690.601799160062,8692.97814395421,8695.43415225448,8697.897127033102,8700.35513860173,8702.828342124289,8705.355265655979,8707.987098426494,8710.78645257899,8713.828870428853,8717.206329822722,8721.032571954223,8725.450449160391,8730.641777750654,8736.840446300957,8744.349808395578,8753.538312740651,8764.840832861846,8778.770586944373,8795.932663395486,8817.036098637172,8842.902870023154,8874.472271846449,8912.799028364054,8959.043562865434,9014.453236520529,9080.334115361751,9158.013832449484,9248.797213770833,9353.917318747908,9474.48521754979,9611.442069167286,9765.516856126307,9937.192543361329,10126.682587758729,10333.918777797306,10558.550462382029,10799.95443364895,11057.254119231808,11329.346336966631,11614.933661974064,11912.560426022004,12220.650475484483,12537.545017665898,12861.53914848689,13190.915945399629,13523.977302312009,13859.070959415418,14194.613427566313,14529.108717077095,14861.16295154029,15189.495078986469,15512.94398785605,15830.4723979597,16141.167931567023,16444.24178198707,16739.025391342137,17024.96553016678,17301.618142946074,17568.641289111372,17825.787471111908,18072.895602176442,18309.88282795238,18536.73637958379,18753.50560180319,18960.294268784288,19157.25327310114,19344.573749235442,19522.4806725942,19691.226957769857,19851.08806555053,20002.357116686188,20145.340501335766,20280.353966156177,20407.719155851813,20527.760582404982,20640.802992897683,20747.16910558284,20847.177683463426,20941.141914912107,21029.368071657744,21112.154415646964,21189.790327749197,21262.55563292073
R,0.0,1737.2385124407692,3185.246383491999,4444.353961783121,5581.800696773533,6641.842503827547,7653.234030640485,8634.47957053895,9597.396650669032,10549.481069772723,11495.452472034267,12438.253537140414,13379.691103699792,14320.845482444844,15262.330998055346,16204.461640891737,17147.35645281629,18091.006741031822,19035.319147304108,19980.143447099435,20925.290680166603,21870.54514361596,22815.672472544597,23760.425211032325,24704.546759246346,25647.77425732061,26589.84076224817,27530.476945332677,28469.412456582577,29406.377051106174,30341.101539985393,31273.318607320107,32202.763521785382,33129.17476239715,34052.294572521016,34971.8694524038,35887.65059797715,36799.394291945675,37706.862251955776,38609.82193976946,39508.04683472903,40401.31667431908,41289.417664265224,42172.14266032121,43049.29132366742,43920.67025165795,44829.55214958888,45759.70500569104,46715.11102774107,47710.584039802125,48767.42068435526,49911.92904022394,51175.656552263994,52596.71787753389,54221.980845289356,56110.10154088604,58335.565650110926,60994.03067652585,64209.3981798518,68143.1934820545,73007.00072588203,79045.86906901414,86541.55978394001,95825.41294736238,107286.83555402249,121378.9153234328,138621.03402781356,159597.6925778208,184952.58299291923,215377.10692047357,251592.99282255015,294329.3335069051,344295.1298891939,402149.12556909915,468469.19574039284,543723.7123729845,628247.1253984214,722221.5338000209,825665.3775797464,938429.6818612901,1060201.6324754034,1190514.7307000225,1328764.400077256,1474227.706350204,1626085.7867068,1783447.6383643427,1945374.0560448621,2110900.7008478255,2279059.5013350854,2448897.8089469546,2619494.937890038,2789975.903743691,2959522.3293808307,3127380.6093250765,3292867.515072364,3455373.486755211,3614363.8944907705,3769378.57001056,3920029.909975464,4065999.8407631703,4207035.914091881,4342946.776716789,4473597.228161843,4598903.050053523,4718825.760640278,4833367.419614449,4942565.58214214,5046488.477492229,5145230.467046303,5238907.818797214,5327654.820607421,5411620.242314106,5490964.146996782,5565855.044096535,5636467.371316831,5702979.288071695,5765570.760420135,5824421.915699065,5879711.644227849,5931616.425318836,5980309.355228095,6025959.355481876,6068730.541102261,6108781.729535869,6146266.072486168,6181330.794302574,6214117.0220411755,6244759.693747111,6273387.532891445,6300123.078207383
G,600299.0,600299.0,600368.7303795192,600481.3187172643,600620.2869336823,600775.501719964,600940.7190304509,601112.0849808608,601287.2166767344,601464.6370581952,601643.426793795,601823.0096327557,602003.0199793546,602183.2211929681,602363.4552125233,602543.6115368818,602723.6081696566,602903.3799596659,603082.8715110645,603262.0329143216,603440.817215431,603619.178953086,603797.073348919,603974.4558941242,604151.2821738472,604327.5078315182,604503.0886129889,604677.980453685,604852.1395864469,605025.5226566703,605198.0868368765,605369.7899362294,605540.5905025916,605710.4479159664,605879.3224729248,606047.1754620563,606213.9692307322,606379.6672436034,606544.2341333164,606707.6357439538,606869.8391677012,607030.8127752291,607190.5262402499,607348.95055869,607506.0580628865,607661.8224311913,607828.582035336,608015.2031374921,608229.1524342425,608477.759388175,608769.3009371256,609113.9563002497,609524.7401878511,610018.5425192688,610617.4087383256,611350.2034390498,612254.8195251888,613381.1284161049,614794.9132734272,616583.0829495379,618822.4664434005,621600.2881834687,625025.61441899,629226.3701385043,634347.606863442,640549.1805573027,648001.9930581629,656882.4360572875,667365.0456050583,679613.7325118548,693772.2801580947,709955.027969459,728238.722748359,748656.3998158642,771193.8843709622,795789.1529554807,822334.4475100421,850680.7547830036,880644.0853285044,912012.9124799955,944556.1454824778,978031.0860950715,1012190.9275517103,1046791.476333567,1081596.8945812567,1116384.3641166708,1150947.6569564494,1185099.6605611106,1218673.9499587007,1251525.525767154,1283530.8500915403,1314587.3144729475,1344612.2684846458,1373541.7267927865,1401328.8586503614,1427942.3485389207,1453364.7012492707,1477590.5499650063,1500625.0124391394,1522482.1284494046,1543183.4015137956,1562756.4593442464,1581233.8406235424,1598651.9102635654,1615049.9011674158,1630469.0774889812,1644952.0122790989,1658541.9710570483,1671282.392095738,1683216.4539237444,1694386.7206120824,1704834.855732108,1714601.396364669,1723725.5791467568,1732245.2110113087,1740196.5779709977,1747614.3859900082,1754531.7286590252,1760980.0770243807,1766989.2875139096,1772587.6244447539,1777801.7940902363,1782656.9877241624,1787176.9314531798,1791383.9409937735,1795298.9798533823,1798941.7196385816,1802330.601441015,1805482.8974474682,1808414.7720877014
H,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8745409.193681136,8132264.372634426,7519119.551587716,6905974.730541006,6292829.909494296,5679685.088447586,5066540.267400876,4453395.446354166,3840250.625307455,3227105.8042607447,2613960.9832140342,2000816.1621673238,1387671.3411206133,774526.5200739028,161381.6990271923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
