series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,1615526.688143626,1615297.549974869,1615082.0519858855,1614873.1430343315,1614665.8171064039,1614456.4732554825,1614242.4743347787,1614021.842431708,1613793.0484476225,1613554.8665835517,1613306.2736077,1613046.3790374657,1612774.3766725385,1612489.510880112,1612191.0530772917,1611878.2852661642,1611550.4884506988,1611206.9344371594,1610846.879984359,1610469.5625912282,1610074.197431227,1609659.9750967154,1609226.0599227087,1608771.58873307,1608295.6699032383,1607797.3826690202,1607275.776635615,1606729.8714581977,1606158.6566773728,1605561.0917011942,1604936.1059313314,1604282.5990350796,1603599.4413677992,1602885.4745523587,1602139.5122234935,1601360.3409458464,1600546.7213149134,1599697.389250274,1598811.0574903614,1597886.4172976625,1596922.140382648,1595916.881053914,1594869.2786009933,1593777.9599150384,1592641.542351132,1591458.636834296,1590227.8512094007,1588947.7938330926,1587617.0774035922,1586234.3230217707,1584798.1644743176,1583307.2527270846,1581760.2606138648,1810742.433773678,2039396.6390477412,2267700.802330061,2495623.288624238,2723121.4984789263,2950140.293764121,3176610.3516984265,3402446.250539555,3627544.1416936135,3851778.8986895666,4075000.6578151775,4297030.683403993,4517656.508330243,4736626.322913491,4723056.072927559,4708006.061431901,4691262.213063653,4672636.282846065,4651957.87526773,4629071.464250359,4603836.392828859,4576128.590842094,4545843.177560151,4512897.364945923,4477233.232305393,4438820.053149922,4397655.946099025,4353768.705192132,4307215.743848412,4258083.158901342,4206483.982807871,4152555.739743846,4096457.452812672,4038366.264921074,3978473.8366836463,3916982.6738952906,3854102.518108095,3790046.910092931,3725030.010442163,3659263.7366037047,3592955.252837189,3526304.8299027556,3459504.075148827,3392734.5210798755,3326166.5512195034,3259958.6357481745,3194256.845531249,3129194.61129476,3064892.6944141574,3001459.336663006,2938990.557988916,2877570.5736649525,2817272.304783101,2758157.9588374947,2700279.659956529,2643680.1110875043,2588393.273046672,2534445.047776279,2481853.955371331,2430631.7964390814,2380784.293131036,2332311.7037453055,2285209.4071466606,2239468.4544063034,2195076.086038955,2152016.214028257,2110269.8684997745,2069815.6094409032,2030629.9042947448,1992687.4725856313,1955961.598981323,1920424.4163736482,1886047.1606768612,1852800.3991113927,1820654.2337688752,1789578.4822501165,1759542.8371377934
E,0.0,229.13816875718817,398.4740765695863,527.1066046581088,628.2418529530659,711.0203587447094,781.7774106110111,844.9127582968728,903.4909658374205,959.6559117810983,1014.9170026120192,1070.346811210285,1126.7175480746318,1184.5952869902335,1244.4050108384945,1306.4755006433961,1371.070299456696,1438.4090547601818,1508.6822113960538,1582.0611071487267,1658.7048876340596,1738.7652181576632,1822.3894669396764,1909.72282461126,2000.9096801833969,2096.0944737481545,2195.42217716373,2299.0385063416325,2407.0899358965535,2519.7235642776786,2637.0868619260796,2759.3273243225835,2886.592044503848,3019.027214696117,3156.7775634324935,3299.985732388446,3448.791595852812,3603.3315250141495,3763.73759892407,3930.136763988787,4102.649944060347,4281.391103595317,4466.466266882034,4657.972496978615,4855.99683872987,5060.615231022639,5271.891394278424,5489.8757000526075,5714.604030493774,5946.0966362970175,6184.35700264248,6429.370733424976,6681.104464831344,6939.50481998752,7473.815831694215,8250.526758632626,9252.438810044,10476.782511425423,11933.885004123811,13646.17757923343,15647.671490068546,17983.952948453683,20712.702263883173,23904.716735642618,27645.402822457945,32036.692492346934,37199.32509566858,43275.4143579901,49607.178687990854,56357.18525462981,63629.42012580042,71489.0709136132,79973.32312755354,89097.00178647264,98855.35846307335,109225.4119150404,120166.71799887114,131622.1130884798,143518.75551298397,155769.63314638654,168275.58786986605,180927.81853866676,193610.75962757267,206205.19177103823,218591.42176893764,230652.3708364216,242276.42702913148,253359.9459912108,263809.3183357723,273542.5574272965,282490.3944053298,290596.8954640415,297819.638343556,304129.50034329214,309510.1193094354,313957.09281266114,317476.9801791947,320086.16827697074,321809.6560253914,322679.8053869497,322735.09883581975,322018.93553335126,320578.49106559507,318463.6588704064,315726.0855487304,312418.3071796215,308592.989543123,304302.2717586434,299597.2102011488,294527.31758036825,289140.1906699097,283481.2192642025,277593.3684361224,271517.02598839457,265289.90706702543,258947.00817356838,252520.60322234646,246040.27479466685,239532.97430826243,233023.10541741768,226532.6255644384,220081.1611986343,213686.1327516849,207362.88599884484,201124.8269377336,194983.55777678214,188949.01204210953,183029.58718454908,177232.27339877066,171562.77765583372
I,215.5133709203406,174.8079278468445,147.17610961573084,128.74311183366814,116.81486141092627,109.51650896546757,105.54214575548187,103.9814137524738,104.19930536906253,105.75277600371885,108.33284831530466,111.72437837586662,115.7780660532864,120.39095939238894,125.4928558008809,131.03680047210872,136.99243443817682,143.34132674885416,150.07368989244827,157.18606091740313,164.6796578071731,172.55920881460648,180.83211364812266,189.5078379039365,198.59747168933643,208.11340395040938,218.06907835225485,228.4788065650209,239.35762180512467,250.72116038342466,262.58556245642745,274.96738560434574,287.8835265780045,301.35114777899304,315.3876059131529,330.01038089061046,345.23700350901674,361.08498080160973,377.5717181941823,394.7144378204565,412.530092511735,431.03527511682876,450.2461229312303,470.1782171267838,490.8464771792445,512.2650503942735,534.447196734686,557.405169254451,581.1500905486846,605.6918257338104,631.0388525778623,657.1981295068725,684.174962318392,711.9728705360764,737.870616997641,771.3354802010468,816.6062704062717,876.7007604984652,953.9901059565038,1050.6312517410508,1168.8926885180886,1311.4051156198857,1481.3636834022159,1682.703464358583,1920.2651512850962,2199.9638949428963,2528.9706455241862,2915.9121791311622,3371.092909672378,3887.3720757901265,4462.805681044776,5098.268270438895,5795.997934387372,6558.675433049817,7388.813366249833,8288.328553445115,9258.228324674317,10298.375358444304,11407.315307779803,12582.162119285995,13818.540883452159,15110.589277661113,16451.017557080133,17831.224640579498,19241.464932212057,20671.05773407524,22108.62888666151,23542.37288396197,24960.323252528124,26350.619416803056,27701.759456073218,29002.829890683985,30243.70569582667,31415.21592045355,32509.27240904774,33518.961050442995,34438.59662158797,35263.74360810834,35991.20635587793,36618.992553346274,37146.25439605324,37573.21188622035,37901.06261971607,38131.882158157634,38268.51872031133,38314.48549398008,38273.85340075194,38151.14666843604,37951.24310066332,37679.2804952819,37340.57026323589,36940.518943880656,36484.55800413949,35978.08204794554,35426.3953475146,34834.66643627355,34207.890370950925,33550.85817313531,32868.13289402801,32164.031705673442,31442.613403337982,30707.67070290516,29962.726730503375,29211.03512581799,28455.58321281032,27699.097729423083,26944.05264923282,26192.678671209847,25446.97399738707,24708.71606123117
A,1631.8329124933196,1564.2122189312754,1540.170388842291,1547.2593429621181,1576.9456131594982,1623.399464589435,1682.659361329064,1752.055337108237,1829.8110317347118,1914.7690556300636,2006.2014981023897,2103.6792215808327,2206.9817432670047,2316.0351371777847,2430.8692775603286,2551.5884294391108,2678.3510461708206,2811.355914401307,2950.8326711866102,3097.035328781467,3250.2378643312677,3410.731222874158,3578.821283042847,3754.827473542116,3939.0818241368574,4131.928300829158,4333.7223203288795,4544.830370185168,4765.6296824371475,4996.507923395084,5237.862872275713,5490.1020683372535,5753.642410894017,6028.909699832009,6316.338106477062,6616.369566220412,6929.453085416413,7256.043955896395,7596.602871106418,7951.594938456264,8321.48858302075,8706.754338304425,9107.863520397588,9525.286782537803,9959.492547862974,10410.945319011127,10880.103864195939,11367.419280469969,11873.33293608051,12398.274295123774,12942.658629106836,13506.884621524678,14091.331873140713,14696.358317308086,15322.297556368178,16017.383255902332,16821.88687683424,17771.350444590364,18899.350329043606,20239.909334087333,21829.63221746788,23709.65943500542,25927.539034156754,28539.113363632638,31610.509631530833,35220.31351992693,39461.99375621817,44446.63228939929,50305.99814655898,57049.343140836456,64714.46568610663,73356.10294607154,83038.32445735877,93829.16223709784,105796.46737564371,119004.43430019954,133510.5076425381,149362.5542930899,166596.2849374613,185232.96777183705,205277.5052448538,226716.95076382635,249519.5322871584,273634.2286530103,298990.91700696794,325501.0800251323,353059.0334069389,381543.610111846,410820.2198296589,440743.1910145441,471158.29842583823,501905.3807986218,532820.9598912536,563740.7824114132,594502.218884032,624946.4671926515,654920.5222973422,684278.8867348263,712885.0083966501,740612.4424228813,767345.7426787751,792981.0951727072,817426.7109971053,840603.0000686988,862442.5492886712,882889.9299346184,901901.359335018,919444.2413556656,935496.6091234494,950046.4918837483,963091.2260701767,974636.728674312,984696.7489327069,993292.1122740597,1000449.9684489684,1006203.0538413356,1010588.9761646318,1013649.5280976214,1015430.0349238975,1015978.7399118294,1015346.2300050824,1013584.903383461,1010748.4795912622,1006891.5522054262,1002069.1834171014,996336.539415777,989748.5650826554,982359.6962074696,974223.607228962,965392.9923528957
IH,0.0,32.084908232296385,55.10062988538434,71.84407989351108,84.27299545376835,93.7604219829752,101.27151196259584,107.48648132524225,112.88622061346523,117.81198204627609,122.50705436412179,127.14590985939694,131.85462796009088,136.7252363786136,141.82580482753568,147.20756754608368,152.9099632745118,158.96421223279583,165.39586270131278,172.22660977224643,179.47559830178125,187.16035896697537,195.29748224937197,203.90310432898292,212.99325725359964,222.58412055664024,232.69220079191433,243.33445788690847,254.5283918486265,266.2920995333938,278.6443084577704,291.6043926626658,305.19237422342195,319.4289129682142,334.335286215328,349.9333597889538,366.2455511681533,383.29478532563854,401.10444359429937,419.6983057402958,439.1004853079164,459.3353582232143,480.4274845934356,502.4015236122579,525.2821414731026,549.0939122015653,573.8612113413195,599.6081024641986,626.3582165233931,654.1346241278482,682.9597008851724,712.8549860388547,743.8410347124814,775.9372641680485,810.6108929807115,845.9303342875129,882.9894664780401,923.4250530205235,969.1784829506574,1022.367962249546,1085.2389305770596,1160.1689528883705,1249.7104207440116,1356.6600613741402,1484.1486083185523,1635.7472173451629,1815.589509100175,2028.5096566216196,2280.19783982377,2577.374736330108,2925.0292884292007,3327.377508550434,3788.366631725977,4311.908978956469,4901.952885065523,5562.45358375763,6297.281573019125,7110.09182124419,8004.16954513351,8982.264382865756,10046.422879726844,11197.82823231224,12436.655545803647,13761.950064274626,15171.534747545584,16661.952141506892,18228.44377313517,19864.96841050477,21564.258605540977,23317.913128223623,25116.521330678443,26949.81423982006,28806.836320267368,30676.131388750116,32545.9360774413,34404.37449161313,36239.64822548881,38040.21662015493,39794.962999328025,41493.34353788036,43125.516348008074,44682.4492628595,46156.00562246906,47539.008097778235,48825.281210843605,50009.67371674136,51088.06240555157,52057.33916660016,52915.38334092723,53661.021483143544,54293.9766730863,54814.8094740261,55224.852540363354,55526.14074577487,55721.33854353965,55813.66609392038,55806.82550727987,55704.9283629768,55512.42547860901,55234.03972622894,54874.702525017026,54439.49448586766,53933.590543887,53362.20979069304,52730.57010984312,52043.847625437185,51307.14089534984,50525.4397157679,49703.59835171235,48846.31296785141
IN,8.62053484119973,16.044869808767114,20.810773879763552,23.810080378296753,25.655878164753187,26.76841993728518,27.434649449447523,27.84945730856717,28.144276453253553,28.40690166359641,28.695223384673437,29.046739992652938,29.485140769008247,30.024855825494075,30.674194849145593,31.437506357194113,32.31665726705915,33.312041080851294,34.423259459658645,35.64957783827694,36.99022506293943,38.44458570580767,40.012318866956356,41.69342693864254,43.48829060501845,45.3976813301566,47.422759086324575,49.56506063269675,51.82648195197311,54.20925726577108,56.715936223803695,59.349360288373916,62.11263893891845,65.00912604832524,68.04239659651884,71.21622376144722,74.53455634496304,78.001496438457,81.62127720156796,85.39824061063516,89.3368150274275,93.44149244005969,97.71680523479408,102.16730236819319,106.79752482285113,111.61198024603127,116.61511668852883,121.81129538066293,127.20476250327762,132.79961993384586,138.59979497109958,144.60900906593304,150.83074561151386,157.2682168714333,163.9243301511451,170.69273984697512,177.86054818969765,185.84457103347881,195.1244970809103,206.20829884484226,219.61973951869913,235.90064366337265,255.62287932823693,279.40676720724696,307.94395415423213,342.02374065744044,382.56250857605727,430.63631909329075,487.5169883819724,554.7120298261492,633.2341412697192,723.8777370475565,827.3619790290919,944.3957605931577,1075.6968382907642,1221.983875563019,1383.952485684887,1562.242050668126,1757.3977379443904,1969.830892719078,2199.7803391110924,2447.2767652235048,2712.1121079219247,2993.8155854680135,3291.637699341714,3604.543128856648,3931.212988245083,4270.056436160029,4619.231158827497,4976.671826084672,5340.125273423755,5707.190912394465,6075.36472503994,6442.0851541424,6804.779250417965,7160.9075651201065,7508.006463222944,7843.7267589068315,8165.867822741639,8472.406562162927,8761.520919861732,9031.607758078968,9281.295193228776,9509.44961042747,9715.177719558747,9897.824113691855,10056.964858773237,10192.397683413277,10304.1293528521,10392.360805719101,10457.470609976463,10499.99725929884,10520.620786649712,10520.144121154979,10499.474560305733,10459.605674360144,10401.599905438043,10326.57207167794,10235.673938047225,10130.079970722718,10010.974351866504,9879.539296348381,9736.94468155533,9584.338975771101,9422.841429481576,9253.53547705642,9077.463283212714,8895.621359086494,8708.957166215994,8518.366622868598
D,1644.0,1644.0,1644.0804886048045,1644.218714738762,1644.3989437022433,1644.610351999804,1644.8455605750212,1645.099611565141,1645.369253505663,1645.6524413001569,1645.947985921806,1646.2553086609923,1646.5742684914865,1646.9050406715,1647.248031321123,1647.6038173209834,1647.9731040785666,1648.3566959378788,1648.7554755623628,1649.1703897061993,1649.6024395481509,1650.0526742940067,1650.5221871272338,1651.0121128503897,1651.5236267454566,1652.0579443126132,1652.6163216402201,1653.200056225186,1653.8104881103077,1654.4490012391198,1655.1170249531583,1655.8160355740436,1656.5475580253585,1657.3131674583167,1658.1144908516364,1658.953208560585,1659.831055793311,1660.749823994734,1661.7113621196484,1662.7175777775547,1663.7704382321742,1664.8719712387692,1666.024265702357,1667.2294721397493,1668.489802928121,1669.8075323225712,1671.1849962249084,1672.6245916857374,1674.128776121842,1675.7000662309129,1677.3410365858606,1679.0543178913272,1680.8425948855715,1682.7086038716948,1685.928868909531,1689.2930351102016,1692.8037826999207,1696.46833167699,1700.3006948726052,1704.3229421961894,1708.5659344542892,1713.0698513909028,1717.8847400288073,1723.071240228223,1728.701598719326,1734.8610552824102,1741.6496705713053,1749.1846604335158,1757.6033033158571,1767.0664928313229,1777.7630144911059,1789.9023587231102,1803.7115130881298,1819.433846810216,1837.328965877804,1857.6728625068981,1880.757943772543,1906.8926799418991,1936.400709991606,1969.619307078502,2006.89715580221,2048.59143425601,2095.0642309902582,2146.678361270113,2203.7926779693476,2266.7569988931814,2335.9067928535533,2411.5577802303856,2494.0006093148454,2583.4957673141694,2680.268874973371,2784.506497328024,2896.352581515931,3015.9056074326463,3143.2165099618333,3278.287404109712,3421.071118000236,3571.471514466761,3729.344560743182,3894.5000880603598,4066.7041690709934,4245.682031002945,4431.121416132044,4622.676298280376,4819.970864194578,5022.603671389864,5230.151898882572,5442.175613701562,5658.221983714124,5877.8293757101665,6100.531286491605,6325.860063596927,6553.3503809927815,6782.542443376936,7012.984900501752,7244.237460031276,7475.87319381502,7707.480538058768,7938.664992687069,8169.050529236758,8398.280719926905,8626.019603163095,8851.952302707152,9075.785419137863,9297.247213107632,9516.08760032884,9732.07797826534,9945.010904220098,10154.699643956603,10360.977609222631
R,0.0,68.81689343567653,138.79050859809354,210.52999308506384,284.5077106328839,361.1061801789308,440.64998741966724,523.4274708164343,609.7054607448755,699.7393099041859,793.7797414806206,892.0775547350308,994.886894726659,1102.467565332651,1215.086709391456,1333.0200739375518,1456.553006496145,1585.9812795594246,1721.6118073233151,1863.7632964881834,2012.7668579682434,2168.9665963520024,2332.720187297804,2504.39944863536,2684.390908028894,2873.0963681336216,3070.9334689027014,3278.336245846714,3495.7556824586236,3723.6602545924234,3962.536464256688,4212.889360012145,4475.243040918149,4750.1411407403075,5038.147288901229,5339.845544424069,5655.840798882913,5986.759144135988,6333.248200379456,6695.977399824527,7075.638221072765,7472.944369048307,7888.63189514628,8323.459252079161,8778.207277752772,9253.679102386755,9750.699973016513,10270.116989480824,10812.798746017343,11379.634872663086,11971.535470794166,12589.43043734396,13234.268672516488,13907.01716616619,14608.659958450373,15340.329239957098,16104.964865813938,16907.315164238662,17753.80850796657,18652.508390042207,19613.151987367164,20647.27095759732,21768.393957828008,22992.332292022427,24337.552639890655,25825.643630311355,27481.885852612348,29335.937561534953,31422.650644117886,33783.03315786535,36459.29916855517,39495.82494958754,42939.750058260965,46841.32907992266,51254.09121546707,56234.83730109884,61843.48903727887,68142.79835450099,75197.92305054498,83075.87623256352,91844.86038681798,101573.50109140346,112329.99969389284,124181.22806824998,137191.79137494127,151423.08627420335,166932.38215372202,183771.95165420114,201988.27426482798,221621.33326339998,242704.0220925138,265261.67170670844,289311.7057905969,314863.426289088,341917.9276086694,370468.13428633584,400498.9539670489,431987.5352188242,464903.61804285465,499209.96386923175,534862.8513094126,571812.6238933838,610004.2763745092,649378.0668590966,689870.1429344991,731413.1710586172,773936.9596721666,817369.067748773,861635.3917615028,906660.7252811191,952369.2866026065,998685.2109011142,1045533.0044317063,1092837.9592000197,1140526.5273386016,1188526.655125613,1236768.0771809977,1285182.571874671,1333704.1793879748,1382269.3841908795,1430817.2639411904,1479289.6069866384,1527631.0007645315,1575788.893454749,1623713.631258037,1671358.473650097,1718679.5889095445,1765636.0321405844,1812189.7079146414,1858305.319544066
G,96129.0,96129.0,96134.38531720405,96143.75044965473,96156.13876663322,96170.90401363402,96187.61476152533,96205.98847622304,96225.84602871137,96247.08031485592,96269.63461700345,96293.48769230947,96318.64350606139,96345.12417241506,96372.96510966906,96402.21172427728,96432.9171498659,96465.14071397865,96498.94690642173,96534.40469292906,96571.58706609892,96610.57075884756,96651.4360686034,96694.26675631476,96739.14999527109,96786.17635226298,96835.43978878259,96887.03767352157,96941.07079985809,96997.6434036883,97056.86317808797,97118.84128205525,97183.69234109913,97251.53443778104,97322.48909054353,97396.68121930984,97474.23909643761,97555.29428167832,97639.98153984576,97728.43873994015,97820.80673451815,97917.22921814791,98017.8525638459,98122.82563646323,98232.29958207441,98346.42759252446,98465.36464441118,98589.2672119209,98718.29295309682,98852.60036930194,98992.348437841,99137.69621792914,99288.8024304372,99445.82501210336,99608.92064517648,99784.57391672276,99978.48182799188,100195.9371658494,100442.1676276179,100722.64362414193,101043.36275742976,101411.12197858372,101833.78962813083,102320.58967741576,102882.41001050403,103532.14577578563,104285.08777656908,105159.36449137096,106176.44442492597,107342.33657760313,108666.8706828102,110162.32040533247,111842.49148106712,113722.06359792489,115816.06486865344,118139.41180614186,120706.48080689323,123530.69772938814,126624.1449446355,129997.19286310312,133658.16689375762,137613.0619830062,141865.31597958942,146415.6506548064,151261.985828174,156399.42823113498,161820.33295232337,167514.4319219208,173469.02116981466,179669.1966723422,186098.12751587213,192737.35479616854,199567.10502536045,206566.60768689678,213714.40780828742,220988.6658657084,228367.43886729068,235828.93798165515,243351.7595095999,250915.08728874184,258498.8657433531,266083.9437316173,273652.19010001386,281186.5824386965,288671.27095777466,296091.6196910086,303434.2274007589,310686.93062628235,317838.7913058965,324880.0713297904,331802.1962600504,338597.7103013928,345260.2244316612,351784.35941483534,358165.68522876926,364400.65825110674,370486.5573643711,376421.4199683899,382203.97872727126,387833.59973051184,393310.2226142155,398634.3030690241,403806.7580559811,408828.91395962716,413702.45782841137,418429.39178508933,423011.9906331882,427452.76263881987,431754.4134290887,435919.81291806995
H,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,3228211.6449898817,2997625.098919176,2767038.5528484704,2536452.0067777648,2305865.460707059,2075278.9146363533,1844692.3685656474,1614105.8224949415,1383519.2764242357,1152932.7303535298,922346.1842828239,691759.6382121181,461173.09214141226,230586.54607070645,6.402842700481415e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
