series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,396174.66715487285,395818.60827361484,395562.01128888,395348.8193781086,395152.52243783924,394960.44453471294,394766.4516377591,394567.52011745033,394362.11100380006,394149.3972110759,393928.8957180704,393700.2925457221,393463.35968588217,393217.9159408598,392963.80875446816,392700.90608612646,392429.0930905302,392148.2710923804,391858.3576487927,391559.28711516724,391251.0114285087,390933.5009650146,390606.7453972733,390270.7545094078,389925.5589445576,389571.21086709446,389207.7845262059,388835.37670999166,388454.1070809826,388064.11838548223,387665.57653055136,387258.6705239096,386843.61227353895,386420.636245348,385989.99897887785,385551.97846267256,385106.87337258225,384655.00217787124,384196.70212155196,383732.32808281906,383262.2513307949,382786.8581799932,382306.5485589418,381821.7345042593,381332.83859314834,402920.07607415906,424469.60049734847,445942.18109631457,467338.9549136164,488656.11059125065,509886.1189350707,531018.4239509733,552039.760004229,572934.2160367683,593683.1305406331,614264.8739897865,634654.5578674353,654823.6994602389,674739.8673821604,694366.3327895106,713661.7541900774,732579.9285251785,751069.6467079866,769074.6968016063,786534.0610935675,803382.3528964297,819550.5334207853,834966.9372882026,849558.6166513285,863252.9890504823,875979.7450143857,887672.9413022256,898273.1788090485,907729.7448978616,916002.5918589213,923064.0282386,928900.0176720291,933511.0082224712,936912.2501468192,939133.5968650667,940218.8183486854,940224.4847497651,939218.4987889153,937278.3674848259,934489.3076614027,930942.2765199805,926732.0100493766,921955.1399139805,916708.4453476798,911087.2818821955,905184.2145399443,885526.9857249872,857856.5935324779,831112.8814020267,805325.4951162993,780543.480779856,756814.6309435411,734176.54493033,712653.4291095278,692255.7270825293,672981.1152923002,654816.1059020594,637737.8561705165,621715.9710288951,606714.1875573704,592691.8874182587,579605.4163701532,567409.2092351345,556056.7297384347,545501.2406471757,535696.4224735737,526596.8598421343,518158.4142035583,510338.50041214825,503096.28310695954,496392.8070777181,490191.07400548673,484456.0762415904,479154.7966842028,474256.1823610343,469731.0980409388,465552.2650768456,461694.1897192775,458133.0843213413,454846.78416771896,451814.6620863645,449017.5425271626,446437.6164024799,444058.3576673732,441864.44236065564
E,0.0,356.05888125801516,541.1001449435614,645.5493362678325,712.1128232771356,761.0802769238774,802.1219322200006,839.8542345043494,876.4812211257811,913.0521086590929,950.0611923197871,987.7343886563301,1026.1662417645985,1065.3854851358537,1105.3864363032158,1146.1440391762835,1187.6210778100099,1229.7716453925973,1272.5428284050208,1315.875548860696,1359.705019833952,1403.9610351738856,1448.5682013868177,1493.4461649712098,1538.5098617291978,1583.6698012403708,1628.8323927981214,1673.9003153316826,1718.7729315630784,1763.3467451107165,1807.5158980871604,1851.172705779943,1894.2082241777725,1936.5128453822715,1977.9769153212792,2018.4913676571475,2057.94836736948,2096.2419571939186,2133.2686999231264,2168.928309527039,2203.1242641279464,2235.76439407017,2266.761438649048,2296.03356550173,2323.504847202178,2349.1056902317537,2407.274692643413,2530.6975288600315,2705.123355839182,2924.1136657002817,3186.2417077345367,3493.3942595403773,3849.7885612385658,4261.439754507321,4735.904592087532,5282.189194599168,5910.748749586352,6633.531504157873,7464.033186961636,8417.334802000629,9510.09923309259,10760.502257794435,12188.072968907913,13813.418626082444,15657.810906466972,17742.615578793677,20088.556721167944,22714.82016610913,25638.018515475014,28871.060415683554,32421.987326007016,36292.85841553096,40478.774894553506,44967.135995472316,49737.20834901165,54760.06903159913,59998.95255450546,65409.99761324361,70943.35533961866,76544.59162884858,82156.29522773967,87719.79241108643,93176.86830769142,98471.40295676066,103550.84479505131,108367.46295815751,112879.34007400347,117051.0870605868,120854.27926785704,124267.62813550737,127276.91388886268,129874.71258838386,131444.70623868165,131772.50451863027,131078.1006521673,129517.87638808653,127218.03961791946,124289.62796880153,120834.75723628387,116948.78418317686,112720.66926568952,108232.65919475419,103559.82679517011,98769.71013561783,93922.14228184905,89069.28730694036,84255.86198376546,79519.5074717484,74891.27143477133,70396.16297071139,66053.74745455518,61878.75417429449,57881.67550596949,54069.341811413644,50445.46099736626,47011.115656794645,43765.21392697531,40704.89270218214,37825.8737166805,35122.77436105366,32589.376006103303,30218.853171449846,28003.96716845546,25937.227936034633,24011.027728972895,22217.750156735783,20549.857842225552,18999.961702217064,17560.87456512676,16225.651552576228
I,668.0211428273785,465.4832085675131,375.9125860906164,340.2941456047657,330.59981763328153,333.4835495470967,342.58376740002046,354.8679818140464,368.8916180547955,383.96724231623205,399.76777788475584,416.1368919080443,432.99836442489516,450.31277527585746,468.0568169325343,486.2134256388043,504.76708292859394,523.7015862815892,542.998998027971,562.6391568129757,582.5994591427651,602.8547731271004,623.3774203269118,644.1371966836141,665.1014200224265,686.2349992550563,707.5005237944199,728.8583730573473,750.2668463341905,771.68231325578,793.0593848317553,814.3511046870392,835.509159742426,856.4841092002355,877.225630323109,897.6827791438329,917.8042639243768,937.5387288996253,956.835045601151,975.6426088636476,993.9116344752416,1011.5934553457333,1028.6408130356529,1045.0081415143522,1060.651840096406,1075.5305326402477,1207.4046294717443,1322.1626870322834,1432.5686507803794,1546.8509317623657,1670.7120544104002,1808.543565525307,1964.159744253327,2141.2468643617713,2343.6483321901756,2575.557491051358,2841.6597289075776,3147.2470212976677,3498.3166618221103,3901.658752725613,4364.932224477883,4896.725641387016,5506.596241708206,6205.078309072596,7003.650079384455,7914.647143058575,8951.110031224707,10126.554772955727,11454.658060329748,12948.853513146012,14621.842396374132,16485.030650563735,18547.913475100886,20817.437812465017,23297.38055763063,25987.78482890916,28884.4971658328,31978.8446015324,35257.48240882554,38702.43181457375,42291.31347624849,45997.768604120385,49792.04682350418,53641.729448389284,57512.54959451995,61369.26683650176,65176.553816551575,68899.85491186149,72506.18211622199,75964.81994406442,79247.91867699902,82330.96297366403,85193.11020161046,87728.30732748442,89819.99487406781,91406.04321772158,92459.0001173611,92975.00557538209,92967.02611140371,92460.30412884073,91489.00176364137,90093.54722447449,88318.44908461532,86210.46723583255,83817.08580668776,81185.25716903346,78360.39440000238,75385.59097055349,72301.04537507842,69143.66700347532,65946.83869911313,62740.31143798622,59550.20739439363,56399.10917736695,53306.215034147026,50287.542127988825,47356.16243764547,44522.45825876432,41794.386611642454,39177.74400581095,36676.424937433796,34292.669180069905,32027.294369179253,29879.91158409826,27849.122614387998,25932.69838169586,24127.73859722284,22430.813192816575,20838.08639418528,19345.42452977581
A,259.0746064029108,207.25968512232862,185.80381676941778,179.03093650456526,179.4784407652292,183.57461257038483,189.60153496736854,196.72794941210742,204.54810607112847,212.8611825889085,221.56544450011864,230.60726357678823,239.95642458420974,249.5940648784403,259.5067080012084,269.68325366171837,280.1134144912372,290.7868705680105,301.69278785362513,312.81952752356165,324.15446073134706,335.6838460021026,347.3927474175511,359.26498218641234,371.2830914677219,383.4283310306831,395.68067975843815,408.01886475548855,420.4204022082476,432.86165333230616,445.3178948009289,457.76340303266505,470.1715516488142,482.51492131135495,494.7654210312795,506.8944199056973,518.8728881074546,530.6715458200789,542.2610186893771,553.6119982559799,564.6954057447393,575.4825575205867,585.9453304788844,596.0563256232977,605.7890280967896,615.1179619717284,624.0188381727214,634.4062779455622,649.6475875771995,671.6362926806473,701.5256307259258,740.1580661630438,788.3135309321933,846.8528084443706,916.802332438387,999.407632934882,1096.1709126736641,1208.881091362122,1339.6403116761705,1490.8882003688107,1665.423399636658,1866.4206015215077,2097.440301211965,2362.427637845291,2665.696014967978,3011.8907609710177,3405.928028251964,3852.9045914250373,4357.975335861512,4926.197124336012,5562.34038946911,6270.673081235977,7054.725201406943,7917.045638094141,8858.965849689403,9880.386628423057,10979.60431278334,12153.19124416896,13395.942069241935,14700.893020628384,16059.416095390055,17461.384707138797,18895.40250300075,20349.083085899292,21809.3656723983,23262.850369195192,24696.13672285881,26096.15031434995,27450.44417728136,28747.464426010978,29976.77239832261,31129.218589808974,32197.066472630177,33139.51474879307,33911.882338748714,34490.77907591701,34866.27513904028,35037.51443608272,35010.04790477779,34794.051061576414,34403.01950238527,33852.74567365563,33160.48246207498,32344.24822506591,31422.250548927535,30412.41569438255,29332.01417533065,28197.37367197717,27023.670235057292,25824.788324688845,24613.2400059886,23400.13371162366,22195.183376346427,21006.749393959606,19841.903668825733,18706.51195841435,17605.327666519825,16542.092197774567,15519.637885459872,14539.99033117741,13604.467731858389,12713.775410291842,11868.094309528366,11067.16266328191,10310.350420860304,9596.72629497128,8925.117523526123,8294.162601949613,7702.357359778698,7148.0948330855235
IH,0.0,116.57709482640286,186.66010089915338,234.40957787012616,271.37667030559334,303.1166079919227,332.32430629669454,360.32678432575125,387.79494729343054,415.0834433779879,442.39303878365286,469.8482207136473,497.5342890898509,525.5150848575686,553.8414642108434,582.5553522356372,611.6916866532928,641.2793557347952,671.3416574713185,701.8965314037339,732.9566830260085,764.5296581684848,796.6178952145779,829.2187691558719,862.3246350863595,895.9228758269188,929.9959570718086,964.5214928650302,999.4723239242238,1034.8166111376627,1070.5179463777147,1106.5354825646261,1142.8240846644023,1179.3345030119442,1216.0135700187784,1252.8044209595587,1289.646739140172,1326.4770253405663,1363.2288910055536,1399.8333742352288,1436.2192772117148,1472.3135232990203,1508.0415316759172,1543.3276070154577,1578.0953414160097,1612.2680255236205,1528.5801542601864,1461.433932863858,1408.141370676539,1367.0999852399545,1337.3946606662112,1318.5680276778874,1310.4916667650823,1313.2972598880128,1327.3434955224764,1353.2046557586598,1391.6728198377891,1443.7690925642855,1510.76120662869,1594.1858641171264,1695.8746353463807,1817.982330726897,1963.016621409146,2133.8673753396743,2333.8337428511313,2566.646511613185,2836.4827046059954,3147.968883012298,3506.169224288793,3916.5542765378386,4384.946452772337,4917.438921536609,5520.285639572401,6199.761867219831,6961.996542203203,7812.780214389115,8757.354642603037,9800.192359010978,10944.776246387351,12193.390218166256,13546.93228862289,15004.760621843392,16564.58161204152,18222.386826921556,19972.44295914246,21807.336029517573,23718.06821857711,25694.203089919465,27724.052779919024,29794.89907608981,31893.23924383636,34005.046988130045,36116.03900895869,38211.93815166855,40272.93547675437,42273.53444891041,44186.629813071966,45985.91432507151,47647.33586239475,49149.976067764845,50476.549575294426,51613.63758422465,52551.726736594006,53285.102254639045,53811.63239823245,54132.47421790453,54251.72571712852,54176.04567451222,53914.25897270736,53476.962132596964,52876.14081113542,52124.80830534893,51236.67164731634,50225.829705314296,49106.505842053484,47892.81612501275,46598.57282634904,45237.121970687236,43821.212961293655,42362.897807701964,40873.457158220845,39363.35017668935,37842.1852638812,36318.70868227288,34800.808273847855,33295.52964298286,31809.102392427176,30346.974235350248,28913.851048773853,27513.741174436684
IN,85.96083943346261,158.4143774971886,193.4205149890388,211.40009479615958,221.97111132021578,229.63360587627062,236.4631462782229,243.3905535563753,250.81016567544162,258.8684694010438,267.60047470784195,276.99360216915943,287.01713212076095,297.6353640066347,308.81313443424403,320.51780613875417,332.71967449199815,345.3917055355494,358.50902830587654,372.04837167732046,385.9875268310825,400.3048660775403,414.978926187973,429.98805486285335,445.3101154448864,460.9222441441509,476.800654316219,492.92048300054967,509.2556756635837,525.7789057641216,542.4615263197118,559.2735510927475,576.1836633411281,593.1592503042403,610.1664617358798,627.1702908664781,644.1346761915696,661.0226224545704,677.7963391312385,694.4173946411186,710.8468844173038,727.0456108684475,742.9742731736433,758.593664768136,773.8648763114121,788.749501883671,803.20984613562,832.36752513944,871.7106108960212,919.0786112549918,973.7093495411956,1035.6942121449122,1105.675329066308,1184.6847511151964,1274.0667086993767,1375.4487778377788,1490.7423869854342,1622.1615306094006,1772.2532816037833,1943.9362138123906,2140.5440453699243,2365.8722064113717,2624.2249139037235,2920.459873133068,3260.0270323381296,3648.996989289944,4094.0737908705205,4602.586108833261,5182.450277490094,5842.098626502259,6590.367122385587,7436.337704475221,8389.132952319262,9457.663825926069,10650.335008982405,11974.716540531883,13437.194503651233,15042.617049238706,16793.954486947827,18691.993195113108,20735.08248066379,22918.951259470366,25236.60773222088,27678.330470554363,30231.75397457812,32882.04631846129,35612.17143272638,38403.224261939366,41234.823751161486,44085.54649508714,46933.38295343126,49756.19831859207,52532.18126633567,55240.26572933725,57849.04893365631,60317.06367118608,62601.36378003401,64662.218816550005,66465.64460485365,67984.66554060137,69199.7929702456,70098.99653209695,70677.33852819377,70936.38449196456,70883.4710139552,70530.89211184296,69895.05182771408,68995.62033063054,67854.7222131606,66496.17829491137,64944.81584758489,63225.856652577146,61364.3876623746,59384.915233107895,57311.00088489619,55164.97426788752,52967.71738861356,50738.51309704942,48494.95025925924,46252.87785450887,44026.40035510466,41827.90709561127,39668.12884852085,37556.21543893857,35499.828904474096,33505.247400819535,31577.475739604666,29720.35910177974,27936.697082178445,26228.355779612946
D,10173.0,10173.0,10173.416696359518,10174.083899334748,10174.921779347798,10175.891795548174,10176.975263850825,10178.163132949976,10179.451094873275,10180.837239750337,10182.320925374937,10183.902227165067,10185.581665509182,10187.360065694122,10189.23848120154,10191.218147294869,10193.300449095712,10195.486896608023,10197.779103094781,10200.178765095943,10202.687643275052,10205.307543710518,10208.04029945277,10210.887752268067,10213.85173453976,10216.93405132504,10220.136462581913,10223.460665593277,10226.908277625054,10230.480818864291,10234.179695691437,10238.006184348733,10241.961415073501,10246.046356771163,10250.261802307787,10254.608354505757,10259.08641292863,10263.696161542313,10268.43755733937,10273.310320011291,10278.313922750265,10283.44758425705,10288.710262025275,10294.100646964842,10299.617159418201,10305.257946613308,10310.41047370135,10315.295548965749,10319.96603663111,10324.466210573246,10328.835223413851,10333.109303224028,10337.323216402532,10341.51131894179,10345.708387666777,10349.950345708208,10354.274951502084,10358.722494831349,10363.336528751606,10368.16465777078,10373.25939742833,10378.679116642637,10384.489070729896,10390.762529085432,10397.581996617919,10405.04052174442,10413.243075827955,10422.307979267625,10432.368338144222,10443.573442765419,10456.0900663554,10470.103589553677,10485.818865702488,10503.4607346978,10523.27409107189,10545.523416371816,10570.491697730911,10598.478674028438,10629.798377575502,10664.775971368406,10703.743917391987,10747.0375475279,10794.990142462295,10847.927652917719,10906.163219367021,10969.991659633895,11039.684097759124,11115.482902323594,11197.597088879782,11286.198320608857,11381.417615505638,11483.342839182918,11592.017031663741,11707.437586038346,11829.556268103666,11958.261537744855,12093.360372372232,12234.573125733838,12381.536078218916,12533.808643832948,12690.883385164156,12852.19762378962,13017.14579714228,13185.09193962418,13355.381822205502,13527.354403187202,13700.352338601706,13873.731380984973,14046.86856316669,14219.16912076057,14390.072154010784,14559.05506722829,14725.636852949061,14889.380308990183,15049.893290689917,15206.82910877018,15359.886186439711,15508.807088517275,15653.377031385959,15793.42197629549,15928.80640061364,16059.430832690432,16185.229226537227,16306.166242936513,16422.23449419845,16533.451800798863,16639.85849973492,16741.514836726412,16838.498467433175,16930.902086676317
R,0.0,65.32222265031876,142.39859460527563,227.13637504978647,317.74066304810674,413.49876036593975,514.2021547643553,619.8729895236286,730.6355866426609,846.6568463670923,968.1191718951184,1095.208603625486,1228.1099401609426,1367.0049628283214,1512.0719479848462,1663.4856332640866,1821.4172675355833,1986.0345910356402,2157.501691585317,2335.978726995114,2521.621522187705,2714.5810562623205,2915.0028562766943,3123.0263140007514,3338.7839406885923,3562.4005736199065,3793.992547009755,4033.6668389415786,4281.520205235639,4537.63831058951,4802.0948668765595,5074.9507881212685,5356.253371349669,5646.035512207406,5944.31496392069,6251.093647825613,6566.357023292702,6890.073524414333,7222.194070294871,7562.651655183275,7911.3610240145335,8268.218438182383,8633.10153555639,9005.869287889505,9386.362057847273,9774.4017569387,10169.792104654047,10561.530385691542,10953.746203221677,11350.28618720188,11754.888660526685,12171.318583266091,12603.481662053457,13055.528667339224,13531.95681855365,14037.712866540434,14578.301283714334,15159.900252006471,15789.487633889239,16474.97865961325,17225.37656091557,18050.936753107948,18963.344353338332,19975.90377345651,21103.737805852787,22363.99201657183,23776.038392163446,25361.67012151775,27145.277254830995,29153.990954720986,31417.78238285061,33969.50123190367,36844.83880574696,40082.20161813972,43722.483878791565,47808.73098390346,52385.69108001728,57499.2576118843,63195.812046588224,69521.48215466463,76521.33678011302,84238.54246032846,92713.51019786997,101983.06192786305,112079.64572409747,123030.62665553519,134857.67668155528,147576.2823848728,161195.38405725904,175717.154053121,191136.9167622087,207443.20732865264,224617.96159904357,242636.82588742315,261462.66169160441,281042.6362319794,301310.3755680617,322188.2761734501,343589.8984439413,365422.3586430793,387588.64359668124,409989.7856163469,432526.8497770949,455102.7000397626,477623.5239221739,500000.10702985205,522148.8585387058,543992.5966158605,565461.1088190253,586491.5068570815,607028.39790544,627023.8961602086,646437.4987084938,665235.8493091008,683392.4125264634,700887.0790288153,717705.720913372,733839.7137948363,749285.4402014771,764043.7866538189,778119.6447211282,791521.4244077533,804260.5864460217,816351.1984824975,827809.518746941,838653.6095870328,848902.9822294976,858578.273278082,867700.9527665521,876293.0630345824
G,569998.0,569998.0,570049.5596523777,570127.9144887358,570221.3942504344,570324.5128399557,570434.7222367023,570550.8747332885,570672.491113776,570799.4113212349,570931.6272321508,571069.2023001858,571212.2326931946,571360.8282696346,571515.1030487604,571675.1702269684,571841.139372369,572013.1146639612,572191.1936331373,572375.4661490663,572566.0135260392,572762.9076967763,572966.2104276889,573175.9725677177,573392.2333300912,573615.0196101867,573844.3453445836,574080.2109173156,574322.6026196894,574571.4921700765,574826.8362998958,575088.5764116528,575356.638314403,575630.9320413971,575911.351753946,576197.7757347348,576490.0664729299,576788.0708424824,577091.6203740392,577400.5316198637,577714.606610147,578033.6333980816,578357.3866900918,578685.6285566814,579018.1092184938,579354.5679013847,579694.7337536138,580043.3228574492,580409.784394373,580801.5039306842,581224.934694674,581686.3233118086,582192.1896252785,582749.6641621973,583366.7484814948,584052.5384092712,584817.433916735,585673.3489545622,586633.927657676,587714.7684306846,588933.6535061097,590310.7780109202,591868.9690434292,593633.8816421848,595634.1549115729,597901.5082338129,600470.7548940333,603379.7091592769,606668.9635304891,610381.5161219055,614562.2343041039,619257.1499035049,624512.5929276667,630374.1840073918,636885.7191000042,644087.9918354921,652017.6076155372,660705.8479588401,670177.6429806359,680450.7043543492,691534.8613393776,703431.6296705499,716134.0287439305,729626.6480618775,743885.9505897567,758880.7894832217,774573.1061569025,790918.772116078,807868.5342957326,825369.0235558063,843363.7880336138,861794.31675019,880601.0236916186,899635.0759714321,918716.5955839084,937697.5609795144,956452.5957076896,974874.5990451681,992872.5492425764,1010370.2115849276,1027305.15963952,1043627.8490289487,1059300.6452369252,1074296.7847826928,1088599.2841391114,1102199.8239978913,1115097.638749347,1127298.4380646702,1138813.3823008714,1149658.1277195474,1159851.952063068,1169416.9662679355,1178377.414167789,1186759.0589608725,1194588.6529264506,1201893.48527291,1208701.0019751724,1215038.4908993032,1220932.8253149523,1226410.2589709382,1231496.2661790675,1236215.4207530092,1240591.3081322769,1244646.4655469747,1248402.345617424,1251879.2993127324,1255096.5746988954,1258072.328380458,1260823.646974436,1263366.5763484414
H,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1024188.9516078642,1002109.1678614387,980029.3841150132,957949.6003685876,935869.8166221621,913790.0328757366,891710.2491293111,869630.4653828855,847550.68163646,825470.8978900345,803391.114143609,781311.3303971834,759231.5466507579,737151.7629043324,715071.9791579068,692992.1954114813,670912.4116650558,648832.6279186303,626752.8441722047,604673.0604257792,582593.2766793537,560513.4929329281,538433.7091865026,516353.92544007715,494274.1416936517,472194.3579472262,450114.57420080074,428034.79045437527,405955.0067079498,383875.2229615243,361795.43921509886,339715.6554686734,317635.8717222479,295556.08797582245,273476.304229397,251396.5204829715,229316.73673654604,207236.95299012057,185157.1692436951,163077.38549726963,140997.60175084416,118917.81800441867,96838.03425799319,74758.2505115677,52678.46676514222,30598.68301871674,8518.899272291259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
