,date,cases,diff
0,2021-02-01,10757610.0,0
1,2021-02-02,10757610.0,0.0
2,2021-02-03,10763497.25541873,5887.2554187309
3,2021-02-04,10771237.162078701,7739.90665997006
4,2021-02-05,10780016.409706738,8779.247628036886
5,2021-02-06,10789433.198854141,9416.789147403091
6,2021-02-07,10799272.051336981,9838.852482840419
7,2021-02-08,10809413.794849966,10141.743512984365
8,2021-02-09,10819792.6651145,10378.870264533907
9,2021-02-10,10830374.170744702,10581.505630202591
10,2021-02-11,10841143.097258871,10768.926514169201
11,2021-02-12,10852096.755378233,10953.658119361848
12,2021-02-13,10863241.048599852,11144.29322161898
13,2021-02-14,10874588.102239802,11347.05363995023
14,2021-02-15,10886154.779412752,11566.677172949538
15,2021-02-16,10897961.712092496,11806.932679744437
16,2021-02-17,10910032.63696091,12070.924868414178
17,2021-02-18,10922393.914008388,12361.277047477663
18,2021-02-19,10935074.155065937,12680.241057548672
19,2021-02-20,10948103.917454826,13029.762388888747
20,2021-02-21,10961515.434225243,13411.51677041687
21,2021-02-22,10975342.362174599,13826.927949355915
22,2021-02-23,10989619.534839857,14277.17266525887
23,2021-02-24,11004382.711548373,14763.176708515733
24,2021-02-25,11019668.316304214,15285.604755841196
25,2021-02-26,11035513.162308812,15844.846004597843
26,2021-02-27,11051954.159571316,16440.99726250395
27,2021-02-28,11069028.00452663,17073.84495531395
28,2021-03-01,11086770.851936314,17742.84740968421
29,2021-03-02,11105217.970636008,18447.118699694052
30,2021-03-03,11124403.3859133,19185.41527729109
31,2021-03-04,11144359.512430571,19956.126517271623
32,2021-03-05,11165116.782613704,20757.27018313296
33,2021-03-06,11186703.276269613,21586.493655908853
34,2021-03-07,11209144.357834918,22441.08156530559
35,2021-03-08,11232462.328062132,23317.970227213576
36,2021-03-09,11256676.097097425,24213.76903529279
37,2021-03-10,11281800.885785485,25124.788688059896
38,2021-03-11,11307847.96165598,26047.07587049529
39,2021-03-12,11334824.415419169,26976.453763188794
