,date,cases,diff
0,2021-02-01,10757610.0,0
1,2021-02-02,10757610.0,0.0
2,2021-02-03,10763133.745095598,5523.74509559758
3,2021-02-04,10770605.071716556,7471.3266209587455
4,2021-02-05,10779208.933114067,8603.861397510394
5,2021-02-06,10788596.44371373,9387.510599663481
6,2021-02-07,10798575.128325567,9978.684611836448
7,2021-02-08,10809019.093978927,10443.96565335989
8,2021-02-09,10819837.120011672,10818.026032745838
9,2021-02-10,10830959.865888312,11122.745876640081
10,2021-02-11,10842334.211473675,11374.345585362986
11,2021-02-12,10853920.431612449,11586.220138773322
12,2021-02-13,10865690.516918825,11770.085306376219
13,2021-02-14,10877626.949697882,11936.432779056951
14,2021-02-15,10889721.654362716,12094.704664833844
15,2021-02-16,10901975.016592551,12253.362229835242
16,2021-02-17,10914394.939386897,12419.922794345766
17,2021-02-18,10926995.93343729,12600.994050392881
18,2021-02-19,10939798.2489332,12802.315495910123
19,2021-02-20,10952827.05757548,13028.808642279357
20,2021-02-21,10966111.692436475,13284.634860996157
21,2021-02-22,10979684.951555835,13573.259119359776
22,2021-02-23,10993582.469451856,13897.517896020785
23,2021-02-24,11007842.159046097,14259.68959424086
24,2021-02-25,11022503.724657722,14661.56561162509
25,2021-02-26,11037608.244632125,15104.519974403083
26,2021-02-27,11053197.81991966,15589.575287535787
27,2021-02-28,11069315.282746226,16117.462826564908
28,2021-03-01,11086003.957686791,16688.6749405656
29,2021-03-02,11103307.46616888,17303.508482089266
30,2021-03-03,11121269.564785948,17962.09861706756
31,2021-03-04,11139934.007766375,18664.442980427295
32,2021-03-05,11159344.4244172,19410.41665082425
33,2021-03-06,11179544.203201959,20199.778784759343
34,2021-03-07,11200576.375177886,21032.171975927427
35,2021-03-08,11222483.490689885,21907.115511998534
36,2021-03-09,11245307.48441207,22823.993722185493
37,2021-03-10,11269089.52498596,23782.04057388939
38,2021-03-11,11293869.846600452,24780.321614492685
39,2021-03-12,11319687.560881918,25817.71428146586
