state,full,POP
up,Uttar Pradesh,199812341
mh,maharastra,112374333
br,Bihar,104099452
wb,West Bengal,91276115
mp,Madhya Pradesh,72626809
tn,Tamil Nadu,72147030
rj,Rajesthan,68548437
ka,Karnataka,61095297
gj,Gujarat,60439692
ap,Andhra Pradesh,49577103
or,Odisha,41974219
tg,Telangana,35003674
kl,Kerala,33406061
jh,Jharkhand,32988134
as,Assam,31205576
pb,Punjab,27743338
ct,Chhattisgarh,25545198
hr,Haryana,25351462
dl,Delhi,16787941
jk,Jammu and Kashmir,12267032
ut,Uttarakhand,10086292
hp,Himachal Pradesh,6864602
tr,Tripura,3673917
ml,Meghalaya,2966889
mn,Manipur,2570390
nl,Nagaland,1978502
ga,Goa,1458545
ar,Arunachal Pradesh,1383727
py,Puducherry,1247953
mz,Mizoram,1097206
ch,Chandigarh,1055450
sk,Sikkim,610577
dn_dd,Daman and Diu,585764
an,Andaman and Nicobar,380581
ld,Ladakh,274000
la,Lakshdweep,64473
